20180920-15:25:34.035,-2332,17824,-3304,2190
20180920-15:25:34.037,2224,17036,-3304,2455
20180920-15:25:34.040,152,16392,496,2488
20180920-15:25:34.042,152,16392,496,2370
20180920-15:25:34.044,152,16392,496,2138
20180920-15:25:34.046,-3960,13552,1472,1902
20180920-15:25:34.048,-3960,13552,1472,1791
20180920-15:25:34.050,-1544,17912,-3708,1770
20180920-15:25:34.053,-1544,17912,-3708,1954
20180920-15:25:34.055,2092,17024,-2932,2193
20180920-15:25:34.057,2092,17024,-2932,2403
20180920-15:25:34.059,2092,17024,-2932,2480
20180920-15:25:34.061,180,16420,648,2427
20180920-15:25:34.063,180,16420,648,2216
20180920-15:25:34.065,-4460,13776,1460,1980
20180920-15:25:34.068,-4460,13776,1460,1802
20180920-15:25:34.070,-4460,18096,-4072,1769
20180920-15:25:34.072,-812,18096,-4072,1872
20180920-15:25:34.074,-812,18096,-4072,2095
20180920-15:25:34.076,1896,17020,-2656,2338
20180920-15:25:34.078,1896,17020,-2656,2467
20180920-15:25:34.080,100,16004,664,2483
20180920-15:25:34.082,100,16004,664,2316
20180920-15:25:34.084,100,16004,1440,2099
20180920-15:25:34.087,-4816,13828,1440,1867
20180920-15:25:34.089,-4816,13828,1440,1777
20180920-15:25:34.091,-244,18208,-4352,1800
20180920-15:25:34.093,-244,18208,-4352,2001
20180920-15:25:34.095,1716,17128,-2360,2251
20180920-15:25:34.097,1716,17128,-2360,2433
20180920-15:25:34.099,1716,17128,-2360,2483
20180920-15:25:34.102,104,15720,852,2348
20180920-15:25:34.105,104,14012,1336,1987
20180920-15:25:34.108,-5252,14012,1336,1808
20180920-15:25:34.111,308,18176,-4320,1795
20180920-15:25:34.113,308,18176,-4320,2024
20180920-15:25:34.115,1476,17144,-1912,2286
20180920-15:25:34.118,1476,17144,-1912,2459
20180920-15:25:34.120,1476,17144,-1912,2487
20180920-15:25:34.122,64,15488,780,2325
20180920-15:25:34.125,64,15488,780,2082
20180920-15:25:34.127,-5512,14312,1064,1852
20180920-15:25:34.129,-5512,14312,1064,1769
20180920-15:25:34.131,780,18172,-4640,1840
20180920-15:25:34.134,780,18172,-4640,2088
20180920-15:25:34.136,1256,17172,-1604,2348
20180920-15:25:34.138,1256,17172,-1604,2472
20180920-15:25:34.141,1256,17172,756,2461
20180920-15:25:34.143,36,15216,756,2259
20180920-15:25:34.145,36,15216,756,2015
20180920-15:25:34.147,-5696,14768,760,1825
20180920-15:25:34.150,-5696,14768,760,1763
20180920-15:25:34.152,1560,18036,-4804,1876
20180920-15:25:34.154,1560,18036,-4804,2121
20180920-15:25:34.156,940,17236,-1408,2379
20180920-15:25:34.159,940,17236,-1408,2471
20180920-15:25:34.161,940,17236,880,2449
20180920-15:25:34.163,-44,14816,880,2223
20180920-15:25:34.165,-44,14816,880,1981
20180920-15:25:34.168,-5824,15028,548,1804
20180920-15:25:34.170,-5824,15028,548,1756
20180920-15:25:34.172,1924,17952,-4848,1905
20180920-15:25:34.174,1924,17952,-4848,2162
20180920-15:25:34.177,744,17320,-1016,2399
20180920-15:25:34.179,744,17320,-1016,2487
20180920-15:25:34.181,744,14672,1008,2410
20180920-15:25:34.184,-236,14672,1008,2171
20180920-15:25:34.186,-236,14672,1008,1927
20180920-15:25:34.188,-5740,15324,404,1793
20180920-15:25:34.190,-5740,15324,404,1768
20180920-15:25:34.193,2072,17832,-4756,1983
20180920-15:25:34.195,2072,17832,-4756,2233
20180920-15:25:34.197,556,17244,-828,2444
20180920-15:25:34.199,556,17244,-828,2482
20180920-15:25:34.202,-480,14436,1136,2378
20180920-15:25:34.204,-480,14436,1136,2127
20180920-15:25:34.206,-480,14436,1136,1900
20180920-15:25:34.209,-5644,15696,-80,1779
20180920-15:25:34.211,-5644,15696,-80,1801
20180920-15:25:34.213,2372,17656,-4932,2020
20180920-15:25:34.215,2372,17656,-4932,2282
20180920-15:25:34.218,328,17312,-552,2456
20180920-15:25:34.220,328,17312,-552,2478
20180920-15:25:34.222,-808,14228,1148,2333
20180920-15:25:34.224,-808,14228,1148,2097
20180920-15:25:34.227,-808,14228,1148,1858
20180920-15:25:34.229,-5216,16104,-644,1778
20180920-15:25:34.231,-5216,16104,-644,1820
20180920-15:25:34.233,2584,17376,-4748,2061
20180920-15:25:34.236,2584,17376,-4748,2310
20180920-15:25:34.238,224,17220,-256,2466
20180920-15:25:34.240,224,17220,-256,2482
20180920-15:25:34.242,-1064,14104,1244,2289
20180920-15:25:34.245,-1064,14104,1244,2053
20180920-15:25:34.247,-1064,14104,1244,1828
20180920-15:25:34.249,-4876,16560,-1056,1762
20180920-15:25:34.251,-4876,16560,-1056,1861
20180920-15:25:34.254,2736,17276,-4504,2089
20180920-15:25:34.256,2736,17276,-4504,2336
20180920-15:25:34.258,40,17160,0,2477
20180920-15:25:34.260,40,17160,0,2467
20180920-15:25:34.263,40,13900,1364,2249
20180920-15:25:34.265,-1736,13900,1364,2002
20180920-15:25:34.267,-1736,13900,1364,1813
20180920-15:25:34.270,-4224,16900,-1588,1770
20180920-15:25:34.272,-4224,16900,-1588,1874
20180920-15:25:34.274,2612,17044,-4136,2107
20180920-15:25:34.276,2612,17044,-4136,2371
20180920-15:25:34.279,-80,17072,208,2478
20180920-15:25:34.281,-80,17072,208,2443
20180920-15:25:34.283,-80,13900,1268,2230
20180920-15:25:34.285,-1968,13900,1268,1989
20180920-15:25:34.288,-1968,13900,1268,1796
20180920-15:25:34.290,-3476,17228,-2268,1763
20180920-15:25:34.292,-3476,17228,-2268,1901
20180920-15:25:34.294,2444,16992,-3960,2154
20180920-15:25:34.297,2444,16992,-3960,2407
20180920-15:25:34.299,-76,16980,364,2475
20180920-15:25:34.301,-76,16980,364,2421
20180920-15:25:34.303,-76,13748,1348,2203
20180920-15:25:34.306,-2468,13748,1348,1950
20180920-15:25:34.308,-2468,13748,1348,1805
20180920-15:25:34.310,-3056,17404,-2656,1762
20180920-15:25:34.312,-3056,17404,-2656,1942
20180920-15:25:34.315,2340,16928,-3604,2226
20180920-15:25:34.319,2340,16928,-3604,2479
20180920-15:25:34.321,-136,16864,508,2408
20180920-15:25:34.324,-2888,13736,1212,2144
20180920-15:25:34.332,-2396,17612,-3072,1938
20180920-15:25:34.335,2144,16924,-3172,2206
20180920-15:25:34.337,2144,16924,-3172,2441
20180920-15:25:34.340,-96,16660,572,2487
20180920-15:25:34.342,-96,16660,572,2282
20180920-15:25:34.348,-3472,13736,1252,1791
20180920-15:25:34.350,-1648,17800,-3552,1761
20180920-15:25:34.352,-1648,17800,-3552,1949
20180920-15:25:34.355,1876,16932,-2820,2194
20180920-15:25:34.360,1876,16300,696,2488
20180920-15:25:34.362,-80,16300,696,2324
20180920-15:25:34.365,-80,13856,1264,2089
20180920-15:25:34.367,-4024,13856,1264,1845
20180920-15:25:34.369,-4024,13856,1264,1775
20180920-15:25:34.372,-964,18024,-3884,1900
20180920-15:25:34.377,-964,17020,-2268,2385
20180920-15:25:34.379,1604,17020,-2268,2482
20180920-15:25:34.381,1604,17020,1044,2423
20180920-15:25:34.383,-424,14644,1044,2190
20180920-15:25:34.388,-424,14644,8,1779
20180920-15:25:34.391,-5372,15444,8,1802
20180920-15:25:34.393,2144,17628,-4680,2034
20180920-15:25:34.396,2144,17628,-4680,2292
20180920-15:25:34.398,468,17216,-640,2458
20180920-15:25:34.400,468,17216,-640,2479
20180920-15:25:34.402,-580,14512,1068,2364
20180920-15:25:34.404,-580,14512,1068,2139
20180920-15:25:34.406,-580,14512,1068,1910
20180920-15:25:34.408,-5256,15776,-292,1777
20180920-15:25:34.410,-5256,15776,-292,1773
20180920-15:25:34.412,2244,17540,-4692,1942
20180920-15:25:34.415,2244,17540,-4692,2170
20180920-15:25:34.419,2244,17204,-472,2488
20180920-15:25:34.421,288,17204,-472,2435
20180920-15:25:34.423,-792,14300,1016,2234
20180920-15:25:34.425,-792,14300,1016,1989
20180920-15:25:34.427,-4960,16092,-740,1811
20180920-15:25:34.430,-4960,16092,-740,1765
20180920-15:25:34.432,-4960,16092,-740,1859
20180920-15:25:34.434,2396,17416,-4660,2130
20180920-15:25:34.437,2396,17416,-4660,2388
20180920-15:25:34.439,128,17244,-192,2485
20180920-15:25:34.441,128,17244,-192,2425
20180920-15:25:34.443,-1268,14232,1124,2202
20180920-15:25:34.446,-1268,14232,1124,1961
20180920-15:25:34.448,-4480,16616,-1192,1793
20180920-15:25:34.450,-4480,16616,-1192,1763
20180920-15:25:34.452,-4480,16616,-4412,1937
20180920-15:25:34.455,2532,17212,-4412,2182
20180920-15:25:34.457,2532,17212,-4412,2418
20180920-15:25:34.459,-32,17112,-68,2480
20180920-15:25:34.461,-32,17112,-68,2402
20180920-15:25:34.464,-1544,14044,1200,2129
20180920-15:25:34.466,-1544,14044,1200,1871
20180920-15:25:34.469,-4120,16732,-1540,1776
