20180920-15:36:09.429,-912,14248,-6700,2137
20180920-15:36:09.431,136,14736,-10464,2139
20180920-15:36:09.434,136,14736,-10464,2147
20180920-15:36:09.436,1360,15284,-492,2144
20180920-15:36:09.438,1360,15284,-492,2140
20180920-15:36:09.440,1360,16868,4156,2143
20180920-15:36:09.442,252,16868,4156,2144
20180920-15:36:09.447,-708,18160,2272,2143
20180920-15:36:09.453,-1092,17536,-1024,2137
20180920-15:36:09.455,-1092,17536,-2000,2146
20180920-15:36:09.458,-1508,16544,-2000,2151
20180920-15:36:09.460,-1508,16544,-2000,2141
20180920-15:36:09.464,-1700,16448,-756,2146
20180920-15:36:09.467,-1752,17240,-156,2145
20180920-15:36:09.470,-1752,17240,-156,2147
20180920-15:36:09.475,-1404,17520,-432,2138
20180920-15:36:09.481,-1524,17116,-120,2139
20180920-15:36:09.483,-1124,16964,-72,2143
20180920-15:36:09.485,-1124,16964,-72,2138
20180920-15:36:09.488,-840,16576,-128,2140
20180920-15:36:09.490,-840,16576,-128,2146
20180920-15:36:09.493,-644,16464,-196,2139
20180920-15:36:09.498,-644,16276,-320,2138
20180920-15:36:09.500,-668,16276,-320,2144
20180920-15:36:09.502,-396,16364,-1096,2147
20180920-15:36:09.505,-396,16364,-1096,2142
20180920-15:36:09.510,280,16764,-1836,2139
20180920-15:36:09.513,1212,16744,340,2140
20180920-15:36:09.516,1212,16744,340,2135
20180920-15:36:09.518,692,17416,1096,2145
20180920-15:36:09.520,692,17416,1096,2151
20180920-15:36:09.522,-520,15984,1256,2141
20180920-15:36:09.524,-520,15984,1256,2143
20180920-15:36:09.526,-520,15984,-1992,2141
20180920-15:36:09.529,164,13896,-1992,2147
20180920-15:36:09.531,164,13896,-1992,2133
20180920-15:36:09.533,816,13156,-3524,2143
20180920-15:36:09.536,816,13156,-3524,2145
20180920-15:36:09.538,832,14276,-2792,2142
20180920-15:36:09.540,832,14276,-2792,2147
20180920-15:36:09.542,-308,15224,-992,2145
20180920-15:36:09.545,-308,15224,-992,2140
20180920-15:36:09.547,-308,15224,-2352,2139
20180920-15:36:09.549,-816,15852,-2352,2147
20180920-15:36:09.551,-816,15852,-2352,2137
20180920-15:36:09.554,-1196,16908,-3424,2149
20180920-15:36:09.556,-1196,16908,-3424,2140
20180920-15:36:09.559,-1704,17140,-3520,2141
20180920-15:36:09.561,-1704,17140,-3520,2141
20180920-15:36:09.563,-2404,16828,-2856,2139
20180920-15:36:09.565,-2404,16828,-2856,2142
20180920-15:36:09.568,-1928,15928,-2384,2147
20180920-15:36:09.570,-1928,15928,-2384,2139
20180920-15:36:09.572,-1928,15780,-1916,2143
20180920-15:36:09.575,-1432,15780,-1916,2138
20180920-15:36:09.577,-1432,15780,-1916,2140
20180920-15:36:09.579,-1304,16628,-1036,2131
20180920-15:36:09.581,-1304,16628,-1036,2129
20180920-15:36:09.584,-1140,17192,-440,2149
20180920-15:36:09.586,-1140,17192,-440,2145
20180920-15:36:09.588,-896,16864,-260,2132
20180920-15:36:09.590,-896,16864,-260,2137
20180920-15:36:09.593,-896,16748,-72,2143
20180920-15:36:09.595,-636,16748,-72,2146
20180920-15:36:09.597,-636,16748,-72,2143
20180920-15:36:09.600,-472,16884,-32,2141
20180920-15:36:09.602,-472,16884,-32,2142
20180920-15:36:09.604,-532,16908,-16,2142
20180920-15:36:09.606,-532,16908,-16,2138
20180920-15:36:09.609,-800,16520,-648,2139
20180920-15:36:09.611,-800,16520,-648,2137
20180920-15:36:09.613,-604,12592,-2140,2139
20180920-15:36:09.616,-604,12592,-2140,2144
20180920-15:36:09.618,-604,15452,-4304,2148
20180920-15:36:09.620,-2128,15452,-4304,2141
20180920-15:36:09.622,-2128,15452,-4304,2136
20180920-15:36:09.625,900,16088,-4112,2145
20180920-15:36:09.627,900,16088,-4112,2141
20180920-15:36:09.629,92,16412,960,2142
20180920-15:36:09.631,92,16412,960,2137
20180920-15:36:09.634,-236,17580,976,2148
20180920-15:36:09.636,-236,17580,976,2136
20180920-15:36:09.638,-236,17728,1152,2141
20180920-15:36:09.640,-384,17728,1152,2139
20180920-15:36:09.643,-384,17728,1152,2146
20180920-15:36:09.645,-1152,16596,-216,2144
20180920-15:36:09.647,-1152,16596,-216,2143
20180920-15:36:09.649,-1784,16680,-524,2145
20180920-15:36:09.652,-1784,16680,-524,2145
20180920-15:36:09.654,-2132,17232,-496,2146
20180920-15:36:09.656,-2132,17232,-496,2146
20180920-15:36:09.659,-2132,17632,-692,2143
20180920-15:36:09.661,-1904,17632,-692,2147
20180920-15:36:09.663,-1904,17632,-692,2138
20180920-15:36:09.665,-1832,17804,-776,2142
20180920-15:36:09.668,-1832,17804,-776,2148
20180920-15:36:09.670,-748,17216,-960,2142
20180920-15:36:09.672,-748,17216,-960,2141
20180920-15:36:09.674,-1212,16528,8,2139
20180920-15:36:09.677,-1212,16528,8,2144
20180920-15:36:09.679,-1212,15804,-788,2134
20180920-15:36:09.681,-520,15804,-788,2141
20180920-15:36:09.683,-520,15804,-788,2141
20180920-15:36:09.686,428,15300,-1944,2142
20180920-15:36:09.688,428,15300,-1944,2138
20180920-15:36:09.690,76,15540,-1828,2139
20180920-15:36:09.692,76,15540,-1828,2148
20180920-15:36:09.695,-296,15580,-1888,2145
20180920-15:36:09.697,-296,15580,-1888,2138
20180920-15:36:09.699,-96,14824,-3012,2135
20180920-15:36:09.702,-96,14824,-3012,2140
20180920-15:36:09.704,-96,14824,-3012,2148
20180920-15:36:09.706,224,14436,-3384,2139
20180920-15:36:09.709,224,14436,-3384,2146
20180920-15:36:09.711,304,14496,-2536,2143
20180920-15:36:09.713,304,14496,-2536,2143
20180920-15:36:09.715,132,14856,-1748,2144
20180920-15:36:09.718,132,14856,-1748,2144
20180920-15:36:09.720,-192,15792,-1528,2140
20180920-15:36:09.722,-192,15792,-1528,2147
20180920-15:36:09.724,-192,15792,-1244,2141
20180920-15:36:09.727,-532,16580,-1244,2140
20180920-15:36:09.729,-532,16580,-1244,2147
20180920-15:36:09.731,-920,17088,-872,2139
20180920-15:36:09.733,-920,17088,-872,2145
20180920-15:36:09.736,-1332,17168,-692,2148
20180920-15:36:09.738,-1332,17168,-692,2140
20180920-15:36:09.740,-1420,16952,-552,2136
20180920-15:36:09.742,-1420,16952,-552,2138
20180920-15:36:09.745,-1420,17120,-300,2134
20180920-15:36:09.747,-1596,17120,-300,2145
20180920-15:36:09.749,-1596,17120,-300,2140
20180920-15:36:09.752,-1544,17280,52,2146
20180920-15:36:09.754,-1544,17280,52,2133
20180920-15:36:09.756,-1356,17424,132,2135
20180920-15:36:09.758,-1356,17424,132,2143
20180920-15:36:09.761,-1144,17456,208,2142
20180920-15:36:09.763,-1144,17456,208,2149
20180920-15:36:09.765,-940,17212,128,2139
20180920-15:36:09.768,-940,17212,128,2143
20180920-15:36:09.770,-940,17212,128,2138
20180920-15:36:09.772,-816,16728,-312,2141
20180920-15:36:09.774,-816,16728,-312,2142
20180920-15:36:09.777,-700,16116,-1016,2145
20180920-15:36:09.779,-700,16116,-1016,2148
20180920-15:36:09.781,-504,15716,-1680,2133
20180920-15:36:09.783,-504,15716,-1680,2139
20180920-15:36:09.786,-316,15452,-2068,2140
20180920-15:36:09.788,-316,15452,-2068,2143
20180920-15:36:09.790,-316,15452,-2068,2138
20180920-15:36:09.792,-248,15416,-2160,2140
20180920-15:36:09.795,-248,15416,-2160,2147
20180920-15:36:09.797,-72,15456,-2240,2150
20180920-15:36:09.799,-72,15456,-2240,2134
20180920-15:36:09.801,280,15048,-2052,2135
20180920-15:36:09.804,280,15048,-2052,2144
20180920-15:36:09.806,792,13956,-2520,2142
20180920-15:36:09.810,792,13956,-2520,2148
20180920-15:36:09.812,-528,12840,-1892,2144
20180920-15:36:09.815,-528,12840,-1892,2140
20180920-15:36:09.817,-160,14868,-4660,2140
20180920-15:36:09.820,-160,14868,-4660,2143
20180920-15:36:09.822,-1540,19020,-1048,2148
20180920-15:36:09.824,-1540,19020,-1048,2141
20180920-15:36:09.826,-1012,19004,184,2140
20180920-15:36:09.829,-1012,19004,184,2139
20180920-15:36:09.831,-1012,19004,540,2138
20180920-15:36:09.833,364,17956,540,2146
20180920-15:36:09.835,364,17956,540,2141
20180920-15:36:09.838,-936,16972,2020,2142
20180920-15:36:09.840,-936,16972,2020,2140
20180920-15:36:09.842,-2832,15640,1252,2145
20180920-15:36:09.845,-2832,15640,1252,2143
20180920-15:36:09.847,-2204,16824,-968,2144
20180920-15:36:09.849,-2204,16824,-968,2144
20180920-15:36:09.851,-2204,16824,-616,2143
20180920-15:36:09.853,-1280,18292,-616,2137
20180920-15:36:09.856,-1280,18292,-616,2144
20180920-15:36:09.858,-1696,18392,704,2139
