date_time,x,y,z,i
2018-09-20 15:30:41.730,-5632.000,13304.000,5184.000,2142.000
2018-09-20 15:30:41.733,-3633.333,13857.333,1820.000,2137.667
2018-09-20 15:30:41.736,-1634.667,14410.667,-1544.000,2133.333
2018-09-20 15:30:41.739,364.000,14964.000,-4908.000,2129.000
2018-09-20 15:30:41.742,5018.000,15772.000,-6848.000,2117.500
2018-09-20 15:30:41.745,9672.000,16580.000,-8788.000,2106.000
2018-09-20 15:30:41.748,9672.000,16580.000,-8788.000,2125.000
2018-09-20 15:30:41.751,1526.000,15244.000,-1688.000,2133.000
2018-09-20 15:30:41.754,-6620.000,13908.000,5412.000,2141.000
2018-09-20 15:30:41.757,-6906.000,17058.000,4698.000,2131.500
2018-09-20 15:30:41.760,-7192.000,20208.000,3984.000,2122.000
2018-09-20 15:30:41.763,-7192.000,20208.000,3984.000,2100.000
2018-09-20 15:30:41.766,1538.000,18018.000,-2538.000,2115.500
2018-09-20 15:30:41.769,10268.000,15828.000,-9060.000,2131.000
2018-09-20 15:30:41.772,7164.000,15346.667,-7698.667,2133.333
2018-09-20 15:30:41.775,4060.000,14865.333,-6337.333,2135.667
2018-09-20 15:30:41.778,956.000,14384.000,-4976.000,2138.000
2018-09-20 15:30:41.781,-3070.000,17578.000,-642.000,2115.000
2018-09-20 15:30:41.784,-7096.000,20772.000,3692.000,2092.000
2018-09-20 15:30:41.787,-7544.000,17930.000,4562.000,2118.500
2018-09-20 15:30:41.790,-7992.000,15088.000,5432.000,2145.000
2018-09-20 15:30:41.793,-7992.000,15088.000,5432.000,2147.000
2018-09-20 15:30:41.796,-3562.000,14534.000,352.000,2134.000
2018-09-20 15:30:41.799,868.000,13980.000,-4728.000,2121.000
2018-09-20 15:30:41.802,4300.000,13978.667,-6089.333,2120.000
2018-09-20 15:30:41.805,7732.000,13977.333,-7450.667,2119.000
2018-09-20 15:30:41.808,11164.000,13976.000,-8812.000,2118.000
2018-09-20 15:30:41.811,1388.000,14804.000,-1732.000,2129.500
2018-09-20 15:30:41.814,-8388.000,15632.000,5348.000,2141.000
2018-09-20 15:30:41.817,628.000,13672.000,-4440.000,2145.000
2018-09-20 15:30:41.820,4222.667,13497.333,-5768.000,2133.333
2018-09-20 15:30:41.823,7817.333,13322.667,-7096.000,2121.667
2018-09-20 15:30:41.826,11412.000,13148.000,-8424.000,2110.000
2018-09-20 15:30:41.829,11412.000,13148.000,-8424.000,2124.000
2018-09-20 15:30:41.832,7167.000,15584.000,-5790.000,2123.750
2018-09-20 15:30:41.835,2922.000,18020.000,-3156.000,2123.500
2018-09-20 15:30:41.838,-1323.000,20456.000,-522.000,2123.250
2018-09-20 15:30:41.841,-5568.000,22892.000,2112.000,2123.000
2018-09-20 15:30:41.844,30.667,19392.000,-1349.333,2125.000
2018-09-20 15:30:41.847,5629.333,15892.000,-4810.667,2127.000
2018-09-20 15:30:41.850,11228.000,12392.000,-8272.000,2129.000
2018-09-20 15:30:41.853,7490.667,12697.333,-6718.667,2127.667
2018-09-20 15:30:41.856,3753.333,13002.667,-5165.333,2126.333
2018-09-20 15:30:41.859,16.000,13308.000,-3612.000,2125.000
2018-09-20 15:30:41.862,3490.667,12905.333,-4918.667,2125.000
