date_time,x,y,z,i
2018-09-20 15:33:50.586,-1644.000,14448.000,72.000,2127.000
2018-09-20 15:33:50.589,-1552.000,18752.000,-3692.000,2110.000
2018-09-20 15:33:50.592,630.000,17116.000,-3040.000,2120.500
2018-09-20 15:33:50.595,2812.000,15480.000,-2388.000,2131.000
2018-09-20 15:33:50.598,-1808.000,16280.000,972.000,2138.000
2018-09-20 15:33:50.601,-1808.000,16280.000,972.000,2142.000
2018-09-20 15:33:50.604,-984.800,16129.600,486.400,2141.200
2018-09-20 15:33:50.607,-161.600,15979.200,0.800,2140.400
2018-09-20 15:33:50.610,661.600,15828.800,-484.800,2139.600
2018-09-20 15:33:50.613,1484.800,15678.400,-970.400,2138.800
2018-09-20 15:33:50.616,2308.000,15528.000,-1456.000,2138.000
2018-09-20 15:33:50.619,-1416.000,15912.000,556.000,2142.000
2018-09-20 15:33:50.622,-1070.000,16542.000,-817.000,2129.000
2018-09-20 15:33:50.625,-724.000,17172.000,-2190.000,2116.000
2018-09-20 15:33:50.628,-378.000,17802.000,-3563.000,2103.000
2018-09-20 15:33:50.631,-32.000,18432.000,-4936.000,2090.000
2018-09-20 15:33:50.634,1824.000,15680.000,-800.000,2125.000
2018-09-20 15:33:50.637,1649.600,16198.400,-1740.000,2121.200
2018-09-20 15:33:50.640,1475.200,16716.800,-2680.000,2117.400
2018-09-20 15:33:50.643,1300.800,17235.200,-3620.000,2113.600
2018-09-20 15:33:50.646,1126.400,17753.600,-4560.000,2109.800
2018-09-20 15:33:50.649,952.000,18272.000,-5500.000,2106.000
2018-09-20 15:33:50.652,984.000,17026.000,-2788.000,2116.500
2018-09-20 15:33:50.655,1016.000,15780.000,-76.000,2127.000
2018-09-20 15:33:50.658,-702.667,15721.333,265.333,2129.333
2018-09-20 15:33:50.661,-2421.333,15662.667,606.667,2131.667
2018-09-20 15:33:50.664,-4140.000,15604.000,948.000,2134.000
2018-09-20 15:33:50.667,-2220.000,16381.333,-1336.000,2126.333
2018-09-20 15:33:50.670,-300.000,17158.667,-3620.000,2118.667
2018-09-20 15:33:50.673,1620.000,17936.000,-5904.000,2111.000
2018-09-20 15:33:50.676,460.000,16192.000,700.000,2129.000
2018-09-20 15:33:50.679,236.000,15678.000,40.000,2138.000
2018-09-20 15:33:50.682,12.000,15164.000,-620.000,2147.000
2018-09-20 15:33:50.685,-4688.000,16052.000,1280.000,2138.000
2018-09-20 15:33:50.688,-1238.000,16866.000,-2514.000,2116.000
2018-09-20 15:33:50.691,2212.000,17680.000,-6308.000,2094.000
2018-09-20 15:33:50.694,2212.000,17680.000,1324.000,2122.000
2018-09-20 15:33:50.697,330.000,17346.000,1332.000,2123.500
2018-09-20 15:33:50.700,-1552.000,17012.000,1340.000,2125.000
2018-09-20 15:33:50.703,-3434.000,16678.000,1348.000,2126.500
2018-09-20 15:33:50.706,-5316.000,16344.000,1356.000,2128.000
2018-09-20 15:33:50.709,-3742.667,16369.333,1493.333,2125.667
2018-09-20 15:33:50.712,-2169.333,16394.667,1630.667,2123.333
2018-09-20 15:33:50.715,-596.000,16420.000,1768.000,2121.000
2018-09-20 15:33:50.718,-206.667,15792.000,782.667,2128.000
2018-09-20 15:33:50.721,182.667,15164.000,-202.667,2135.000
2018-09-20 15:33:50.724,572.000,14536.000,-1188.000,2142.000
2018-09-20 15:33:50.727,1449.333,15413.333,-2982.667,2133.333
2018-09-20 15:33:50.730,2326.667,16290.667,-4777.333,2124.667
2018-09-20 15:33:50.733,3204.000,17168.000,-6572.000,2116.000
2018-09-20 15:33:50.736,2357.333,16228.000,-4772.000,2124.667
2018-09-20 15:33:50.739,1510.667,15288.000,-2972.000,2133.333
2018-09-20 15:33:50.742,664.000,14348.000,-1172.000,2142.000
2018-09-20 15:33:50.745,664.000,14348.000,1072.000,2142.000
2018-09-20 15:33:50.748,1705.333,15145.333,-1517.333,2134.000
2018-09-20 15:33:50.751,2746.667,15942.667,-4106.667,2126.000
2018-09-20 15:33:50.754,3788.000,16740.000,-6696.000,2118.000
2018-09-20 15:33:50.757,2886.667,15808.000,-4937.333,2127.333
2018-09-20 15:33:50.760,1985.333,14876.000,-3178.667,2136.667
2018-09-20 15:33:50.763,1084.000,13944.000,-1420.000,2146.000
2018-09-20 15:33:50.766,2161.333,14770.667,-3137.333,2131.333
2018-09-20 15:33:50.769,3238.667,15597.333,-4854.667,2116.667
2018-09-20 15:33:50.772,4316.000,16424.000,-6572.000,2102.000
2018-09-20 15:33:50.775,3161.333,15605.333,-4818.667,2113.667
2018-09-20 15:33:50.778,2006.667,14786.667,-3065.333,2125.333
2018-09-20 15:33:50.781,852.000,13968.000,-1312.000,2137.000
2018-09-20 15:33:50.784,-1249.333,15289.333,-754.667,2125.667
2018-09-20 15:33:50.787,-3350.667,16610.667,-197.333,2114.333
2018-09-20 15:33:50.790,-5452.000,17932.000,360.000,2103.000
2018-09-20 15:33:50.793,-4433.333,17590.667,1169.333,2115.667
2018-09-20 15:33:50.796,-3414.667,17249.333,1978.667,2128.333
2018-09-20 15:33:50.799,-2396.000,16908.000,2788.000,2141.000
2018-09-20 15:33:50.802,-3268.000,17366.667,1782.667,2132.333
2018-09-20 15:33:50.805,-4140.000,17825.333,777.333,2123.667
2018-09-20 15:33:50.808,-5012.000,18284.000,-228.000,2115.000
2018-09-20 15:33:50.811,-4238.667,17901.333,744.000,2123.667
2018-09-20 15:33:50.814,-3465.333,17518.667,1716.000,2132.333
2018-09-20 15:33:50.817,-2692.000,17136.000,2688.000,2141.000
2018-09-20 15:33:50.820,-2692.000,17136.000,2688.000,2135.000
2018-09-20 15:33:50.823,-3554.000,17770.000,878.000,2129.000
2018-09-20 15:33:50.826,-4416.000,18404.000,-932.000,2123.000
2018-09-20 15:33:50.829,-4416.000,18404.000,-932.000,2104.000
2018-09-20 15:33:50.832,-4.000,16924.000,-3142.000,2117.000
2018-09-20 15:33:50.835,4408.000,15444.000,-5352.000,2130.000
2018-09-20 15:33:50.838,-2724.000,17084.000,2400.000,2138.000
2018-09-20 15:33:50.841,-1280.000,15542.000,790.000,2136.500
2018-09-20 15:33:50.844,164.000,14000.000,-820.000,2135.000
2018-09-20 15:33:50.847,-3840.000,18608.000,-1608.000,2121.000
2018-09-20 15:33:50.850,214.000,17014.000,-3160.000,2118.500
2018-09-20 15:33:50.853,4268.000,15420.000,-4712.000,2116.000
2018-09-20 15:33:50.856,4268.000,15420.000,-4712.000,2136.000
2018-09-20 15:33:50.859,1944.000,14782.000,-2652.000,2140.000
2018-09-20 15:33:50.862,-380.000,14144.000,-592.000,2144.000
2018-09-20 15:33:50.865,-380.000,14144.000,-592.000,2132.000
2018-09-20 15:33:50.868,-1730.000,16432.000,-1434.000,2114.000
2018-09-20 15:33:50.871,-3080.000,18720.000,-2276.000,2096.000
2018-09-20 15:33:50.874,3876.000,15184.000,-4076.000,2117.000
2018-09-20 15:33:50.877,606.000,15930.000,-1072.000,2128.000
2018-09-20 15:33:50.880,-2664.000,16676.000,1932.000,2139.000
2018-09-20 15:33:50.883,-1112.000,14332.000,-308.000,2147.000
2018-09-20 15:33:50.886,-1417.333,15809.333,-1186.667,2131.667
2018-09-20 15:33:50.889,-1722.667,17286.667,-2065.333,2116.333
2018-09-20 15:33:50.892,-2028.000,18764.000,-2944.000,2101.000
2018-09-20 15:33:50.895,-2118.667,18014.667,-1401.333,2113.333
2018-09-20 15:33:50.898,-2209.333,17265.333,141.333,2125.667
2018-09-20 15:33:50.901,-2300.000,16516.000,1684.000,2138.000
2018-09-20 15:33:50.904,-2006.667,17218.667,-96.000,2123.667
2018-09-20 15:33:50.907,-1713.333,17921.333,-1876.000,2109.333
2018-09-20 15:33:50.910,-1420.000,18624.000,-3656.000,2095.000
2018-09-20 15:33:50.913,-1605.333,17849.333,-2034.667,2110.333
2018-09-20 15:33:50.916,-1790.667,17074.667,-413.333,2125.667
2018-09-20 15:33:50.919,-1976.000,16300.000,1208.000,2141.000
2018-09-20 15:33:50.922,-1976.000,16300.000,1208.000,2138.000
2018-09-20 15:33:50.925,-1372.000,17500.000,-1522.000,2122.000
2018-09-20 15:33:50.928,-768.000,18700.000,-4252.000,2106.000
2018-09-20 15:33:50.931,-768.000,18700.000,-4252.000,2091.000
2018-09-20 15:33:50.934,772.000,17104.000,-2880.000,2116.000
2018-09-20 15:33:50.937,2312.000,15508.000,-1508.000,2141.000
2018-09-20 15:33:50.940,-1484.000,15928.000,612.000,2140.000
2018-09-20 15:33:50.943,-2212.000,15418.000,582.000,2133.500
2018-09-20 15:33:50.946,-2940.000,14908.000,552.000,2127.000
2018-09-20 15:33:50.949,-1332.000,15082.667,74.667,2129.000
2018-09-20 15:33:50.952,276.000,15257.333,-402.667,2131.000
2018-09-20 15:33:50.955,1884.000,15432.000,-880.000,2133.000
2018-09-20 15:33:50.958,98.667,15432.000,-333.333,2134.000
2018-09-20 15:33:50.961,-1686.667,15432.000,213.333,2135.000
2018-09-20 15:33:50.964,-3472.000,15432.000,760.000,2136.000
2018-09-20 15:33:50.967,-2030.667,16365.333,486.667,2130.000
2018-09-20 15:33:50.970,-589.333,17298.667,213.333,2124.000
2018-09-20 15:33:50.973,852.000,18232.000,-60.000,2118.000
2018-09-20 15:33:50.976,350.667,17301.333,-68.000,2127.333
2018-09-20 15:33:50.979,-150.667,16370.667,-76.000,2136.667
2018-09-20 15:33:50.982,-652.000,15440.000,-84.000,2146.000
2018-09-20 15:33:50.985,158.667,16242.667,-2041.333,2130.333
2018-09-20 15:33:50.988,969.333,17045.333,-3998.667,2114.667
2018-09-20 15:33:50.991,1780.000,17848.000,-5956.000,2099.000
2018-09-20 15:33:50.994,1232.000,16928.000,-4233.333,2112.333
2018-09-20 15:33:50.997,684.000,16008.000,-2510.667,2125.667
2018-09-20 15:33:51.000,136.000,15088.000,-788.000,2139.000
2018-09-20 15:33:51.003,854.667,15969.333,-2588.000,2127.667
2018-09-20 15:33:51.006,1573.333,16850.667,-4388.000,2116.333
2018-09-20 15:33:51.009,2292.000,17732.000,-6188.000,2105.000
2018-09-20 15:33:51.012,1416.000,17268.000,-3680.000,2117.333
2018-09-20 15:33:51.015,540.000,16804.000,-1172.000,2129.667
2018-09-20 15:33:51.018,-336.000,16340.000,1336.000,2142.000
2018-09-20 15:33:51.021,-1997.333,16460.000,1273.333,2132.333
2018-09-20 15:33:51.024,-3658.667,16580.000,1210.667,2122.667
2018-09-20 15:33:51.027,-5320.000,16700.000,1148.000,2113.000
2018-09-20 15:33:51.030,-3826.667,16585.333,1412.000,2120.667
2018-09-20 15:33:51.033,-2333.333,16470.667,1676.000,2128.333
2018-09-20 15:33:51.036,-840.000,16356.000,1940.000,2136.000
2018-09-20 15:33:51.039,-2382.667,16573.333,1650.667,2134.667
2018-09-20 15:33:51.042,-3925.333,16790.667,1361.333,2133.333
2018-09-20 15:33:51.045,-5468.000,17008.000,1072.000,2132.000
2018-09-20 15:33:51.048,-2452.000,16948.000,-1505.333,2128.333
2018-09-20 15:33:51.051,564.000,16888.000,-4082.667,2124.667
2018-09-20 15:33:51.054,3580.000,16828.000,-6660.000,2121.000
2018-09-20 15:33:51.057,2686.667,15964.000,-4954.667,2127.000
2018-09-20 15:33:51.060,1793.333,15100.000,-3249.333,2133.000
2018-09-20 15:33:51.063,900.000,14236.000,-1544.000,2139.000
2018-09-20 15:33:51.066,1953.333,14969.333,-3212.000,2127.000
2018-09-20 15:33:51.069,3006.667,15702.667,-4880.000,2115.000
2018-09-20 15:33:51.072,4060.000,16436.000,-6548.000,2103.000
2018-09-20 15:33:51.075,4060.000,16436.000,-6548.000,2121.000
2018-09-20 15:33:51.078,2604.000,15310.000,-4092.000,2130.000
2018-09-20 15:33:51.081,1148.000,14184.000,-1636.000,2139.000
2018-09-20 15:33:51.084,1148.000,14184.000,-1636.000,2148.000
2018-09-20 15:33:51.087,2732.000,15176.000,-4052.000,2122.500
2018-09-20 15:33:51.090,4316.000,16168.000,-6468.000,2097.000
2018-09-20 15:33:51.093,4316.000,16168.000,-6468.000,2102.000
2018-09-20 15:33:51.096,990.000,16588.000,-1836.000,2123.000
2018-09-20 15:33:51.099,-2336.000,17008.000,2796.000,2144.000
2018-09-20 15:33:51.102,948.000,14060.000,-1500.000,2139.000
2018-09-20 15:33:51.105,-2180.000,16074.000,-644.000,2122.500
2018-09-20 15:33:51.108,-5308.000,18088.000,212.000,2106.000
2018-09-20 15:33:51.111,-5308.000,15940.000,-6308.000,2093.000
2018-09-20 15:33:51.114,-4386.667,16332.000,-3233.333,2108.000
2018-09-20 15:33:51.117,-3465.333,16724.000,-158.667,2123.000
2018-09-20 15:33:51.120,-2544.000,17116.000,2916.000,2138.000
2018-09-20 15:33:51.123,-3308.000,17481.333,1816.000,2126.667
2018-09-20 15:33:51.126,-4072.000,17846.667,716.000,2115.333
2018-09-20 15:33:51.129,-4836.000,18212.000,-384.000,2104.000
2018-09-20 15:33:51.132,-4125.333,17821.333,673.333,2117.000
2018-09-20 15:33:51.135,-3414.667,17430.667,1730.667,2130.000
2018-09-20 15:33:51.138,-2704.000,17040.000,2788.000,2143.000
2018-09-20 15:33:51.141,-3234.667,17425.333,1566.667,2134.333
2018-09-20 15:33:51.144,-3765.333,17810.667,345.333,2125.667
2018-09-20 15:33:51.147,-4296.000,18196.000,-876.000,2117.000
2018-09-20 15:33:51.150,-1520.000,17325.333,253.333,2121.333
2018-09-20 15:33:51.153,1256.000,16454.667,1382.667,2125.667
2018-09-20 15:33:51.156,4032.000,15584.000,2512.000,2130.000
2018-09-20 15:33:51.159,2685.333,15054.667,1393.333,2134.000
2018-09-20 15:33:51.162,1338.667,14525.333,274.667,2138.000
