date_time,x,y,z,i
2018-09-20 15:35:14.631,-432.000,16184.000,-1100.000,2123.000
2018-09-20 15:35:14.634,-448.000,16200.000,-1032.000,2140.000
2018-09-20 15:35:14.637,-448.000,16252.000,-1056.000,2134.000
2018-09-20 15:35:14.640,-628.000,16364.000,-984.000,2139.000
2018-09-20 15:35:14.643,-808.000,16476.000,-912.000,2144.000
2018-09-20 15:35:14.646,-836.000,16576.000,-810.667,2141.000
2018-09-20 15:35:14.649,-864.000,16676.000,-709.333,2138.000
2018-09-20 15:35:14.652,-892.000,16776.000,-608.000,2135.000
2018-09-20 15:35:14.655,-902.000,16816.000,-614.000,2138.500
2018-09-20 15:35:14.658,-912.000,16856.000,-620.000,2142.000
2018-09-20 15:35:14.661,-902.667,16734.667,-726.667,2142.000
2018-09-20 15:35:14.664,-893.333,16613.333,-833.333,2142.000
2018-09-20 15:35:14.667,-884.000,16492.000,-940.000,2142.000
2018-09-20 15:35:14.670,-846.000,16412.000,-958.000,2138.500
2018-09-20 15:35:14.673,-808.000,16332.000,-976.000,2135.000
2018-09-20 15:35:14.676,-808.000,16332.000,-976.000,2146.000
2018-09-20 15:35:14.679,-804.000,16398.000,-980.000,2144.000
2018-09-20 15:35:14.682,-800.000,16464.000,-984.000,2142.000
2018-09-20 15:35:14.685,-794.000,16354.000,-1038.000,2138.000
2018-09-20 15:35:14.688,-788.000,16244.000,-1092.000,2134.000
2018-09-20 15:35:14.691,-754.667,16224.000,-1133.333,2135.667
2018-09-20 15:35:14.694,-721.333,16204.000,-1174.667,2137.333
2018-09-20 15:35:14.697,-688.000,16184.000,-1216.000,2139.000
2018-09-20 15:35:14.700,-618.000,16116.000,-1290.000,2142.500
2018-09-20 15:35:14.703,-548.000,16048.000,-1364.000,2146.000
2018-09-20 15:35:14.706,-534.667,16044.000,-1409.333,2145.667
2018-09-20 15:35:14.709,-521.333,16040.000,-1454.667,2145.333
2018-09-20 15:35:14.712,-508.000,16036.000,-1500.000,2145.000
2018-09-20 15:35:14.715,-518.000,16033.333,-1504.667,2144.333
2018-09-20 15:35:14.718,-528.000,16030.667,-1509.333,2143.667
2018-09-20 15:35:14.721,-538.000,16028.000,-1514.000,2143.000
2018-09-20 15:35:14.724,-548.000,16025.333,-1518.667,2142.333
2018-09-20 15:35:14.727,-558.000,16022.667,-1523.333,2141.667
2018-09-20 15:35:14.730,-568.000,16020.000,-1528.000,2141.000
2018-09-20 15:35:14.733,-556.000,16041.333,-1414.667,2140.333
2018-09-20 15:35:14.736,-544.000,16062.667,-1301.333,2139.667
2018-09-20 15:35:14.739,-532.000,16084.000,-1188.000,2139.000
2018-09-20 15:35:14.742,-557.333,16153.333,-1161.333,2139.667
2018-09-20 15:35:14.745,-582.667,16222.667,-1134.667,2140.333
2018-09-20 15:35:14.748,-608.000,16292.000,-1108.000,2141.000
2018-09-20 15:35:14.751,-608.000,16292.000,-1108.000,2143.000
2018-09-20 15:35:14.754,-650.667,16284.000,-1080.000,2141.000
2018-09-20 15:35:14.757,-693.333,16276.000,-1052.000,2139.000
