date_time,x,y,z,i
2018-09-20 15:27:56.481,-1684.000,18420.000,348.000,2140.000
2018-09-20 15:27:56.484,-1684.000,18420.000,348.000,2143.000
2018-09-20 15:27:56.487,-588.000,16628.000,274.000,2140.500
2018-09-20 15:27:56.490,508.000,14836.000,200.000,2138.000
2018-09-20 15:27:56.493,1700.000,16228.000,-1516.000,2121.000
2018-09-20 15:27:56.496,2892.000,17620.000,-3232.000,2104.000
2018-09-20 15:27:56.499,2892.000,17620.000,-3232.000,2109.000
2018-09-20 15:27:56.502,914.000,17510.000,-1340.000,2130.000
2018-09-20 15:27:56.505,-1064.000,17400.000,552.000,2151.000
2018-09-20 15:27:56.508,-2944.000,17438.000,428.000,2140.000
2018-09-20 15:27:56.511,-4824.000,17476.000,304.000,2129.000
2018-09-20 15:27:56.514,-4824.000,17476.000,304.000,2106.000
2018-09-20 15:27:56.517,-856.000,16678.000,-2318.000,2118.000
2018-09-20 15:27:56.520,3112.000,15880.000,-4940.000,2130.000
2018-09-20 15:27:56.523,-1196.000,16080.000,-992.000,2142.000
2018-09-20 15:27:56.526,-404.000,14518.000,-1072.000,2139.500
2018-09-20 15:27:56.529,388.000,12956.000,-1152.000,2137.000
2018-09-20 15:27:56.532,-2004.000,14994.000,-1200.000,2117.000
2018-09-20 15:27:56.535,-4396.000,17032.000,-1248.000,2097.000
2018-09-20 15:27:56.538,2932.000,15396.000,-4832.000,2102.000
2018-09-20 15:27:56.541,1270.000,16336.000,-2686.000,2121.500
2018-09-20 15:27:56.544,-392.000,17276.000,-540.000,2141.000
2018-09-20 15:27:56.547,-694.000,15774.000,906.000,2139.500
2018-09-20 15:27:56.550,-996.000,14272.000,2352.000,2138.000
2018-09-20 15:27:56.553,597.333,15693.333,280.000,2133.333
2018-09-20 15:27:56.556,2190.667,17114.667,-1792.000,2128.667
2018-09-20 15:27:56.559,3784.000,18536.000,-3864.000,2124.000
2018-09-20 15:27:56.562,1860.000,16812.000,-2976.000,2131.333
2018-09-20 15:27:56.565,-64.000,15088.000,-2088.000,2138.667
2018-09-20 15:27:56.568,-1988.000,13364.000,-1200.000,2146.000
2018-09-20 15:27:56.571,-2298.667,14618.667,-2200.000,2132.333
2018-09-20 15:27:56.574,-2609.333,15873.333,-3200.000,2118.667
2018-09-20 15:27:56.577,-2920.000,17128.000,-4200.000,2105.000
2018-09-20 15:27:56.580,-2240.000,16553.333,-3072.000,2118.333
2018-09-20 15:27:56.583,-1560.000,15978.667,-1944.000,2131.667
2018-09-20 15:27:56.586,-880.000,15404.000,-816.000,2145.000
2018-09-20 15:27:56.589,-1450.667,16374.667,-1089.333,2130.000
2018-09-20 15:27:56.592,-2021.333,17345.333,-1362.667,2115.000
2018-09-20 15:27:56.595,-2592.000,18316.000,-1636.000,2100.000
2018-09-20 15:27:56.598,-1817.333,17730.667,-1188.000,2113.000
