FFT_peak_1_freq_x_,FFT_peak_1_amp_x_,FFT_peak_2_freq_x_,FFT_peak_2_amp_x_,FFT_peak_3_freq_x_,FFT_peak_3_amp_x_,FFT_peak_4_freq_x_,FFT_peak_4_amp_x_,FFT_peak_5_freq_x_,FFT_peak_5_amp_x_,PSD_peak_1_freq_x_,PSD_peak_1_amp_x_,PSD_peak_2_freq_x_,PSD_peak_2_amp_x_,PSD_peak_3_freq_x_,PSD_peak_3_amp_x_,PSD_peak_4_freq_x_,PSD_peak_4_amp_x_,PSD_peak_5_freq_x_,PSD_peak_5_amp_x_,aCorr_peak_1_freq_x_,aCorr_peak_1_amp_x_,aCorr_peak_2_freq_x_,aCorr_peak_2_amp_x_,aCorr_peak_3_freq_x_,aCorr_peak_3_amp_x_,aCorr_peak_4_freq_x_,aCorr_peak_4_amp_x_,aCorr_peak_5_freq_x_,aCorr_peak_5_amp_x_,FFT_peak_1_freq_y_,FFT_peak_1_amp_y_,FFT_peak_2_freq_y_,FFT_peak_2_amp_y_,FFT_peak_3_freq_y_,FFT_peak_3_amp_y_,FFT_peak_4_freq_y_,FFT_peak_4_amp_y_,FFT_peak_5_freq_y_,FFT_peak_5_amp_y_,PSD_peak_1_freq_y_,PSD_peak_1_amp_y_,PSD_peak_2_freq_y_,PSD_peak_2_amp_y_,PSD_peak_3_freq_y_,PSD_peak_3_amp_y_,PSD_peak_4_freq_y_,PSD_peak_4_amp_y_,PSD_peak_5_freq_y_,PSD_peak_5_amp_y_,aCorr_peak_1_freq_y_,aCorr_peak_1_amp_y_,aCorr_peak_2_freq_y_,aCorr_peak_2_amp_y_,aCorr_peak_3_freq_y_,aCorr_peak_3_amp_y_,aCorr_peak_4_freq_y_,aCorr_peak_4_amp_y_,aCorr_peak_5_freq_y_,aCorr_peak_5_amp_y_,FFT_peak_1_freq_z_,FFT_peak_1_amp_z_,FFT_peak_2_freq_z_,FFT_peak_2_amp_z_,FFT_peak_3_freq_z_,FFT_peak_3_amp_z_,FFT_peak_4_freq_z_,FFT_peak_4_amp_z_,FFT_peak_5_freq_z_,FFT_peak_5_amp_z_,PSD_peak_1_freq_z_,PSD_peak_1_amp_z_,PSD_peak_2_freq_z_,PSD_peak_2_amp_z_,PSD_peak_3_freq_z_,PSD_peak_3_amp_z_,PSD_peak_4_freq_z_,PSD_peak_4_amp_z_,PSD_peak_5_freq_z_,PSD_peak_5_amp_z_,aCorr_peak_1_freq_z_,aCorr_peak_1_amp_z_,aCorr_peak_2_freq_z_,aCorr_peak_2_amp_z_,aCorr_peak_3_freq_z_,aCorr_peak_3_amp_z_,aCorr_peak_4_freq_z_,aCorr_peak_4_amp_z_,aCorr_peak_5_freq_z_,aCorr_peak_5_amp_z_
7.000,3255.000,50.000,2221.000,69.000,690.000,151.000,184.000,0.000,0.000,7.000,2440941.000,23.000,400850.000,49.000,425680.000,0.000,0.000,0.000,0.000,0.024,1137002570.474,0.080,263144592.831,0.122,515569232.941,0.158,-189288787.128,0.214,430926028.239,5,2033,26,1087,50,1212,0,0,0,0,5.000,1414983.000,34.000,172419.000,49.000,133419.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,7.999,2385.078,37.329,2109.240,61.326,595.993,85.323,405.856,103.987,572.318,7.874,1016919.818,23.622,99536.542,36.745,237901.728,49.869,184283.395,73.491,30721.128,0.027,668311503.789,0.057,381607558.677,0.107,607874995.625,0.158,-18271270.884,0.214,506753503.394
10.665,3596.415,29.330,915.077,50.660,2695.205,74.657,886.289,146.648,346.600,10.000,3321245.000,36.000,491507.000,49.000,1035452.000,73.000,73950.000,0.000,0.000,0.018,1224400054.038,0.080,1118326831.646,0.119,602677429.594,0.161,-139939560.570,0.199,444769542.516,50,1492,0,0,0,0,0,0,0,0,7.000,669592.000,26.000,102599.000,49.000,332222.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,10.665,2694.598,29.330,549.185,50.660,1175.524,74.657,427.262,95.988,310.902,10.000,2346537.000,23.000,100320.000,39.000,226610.000,0.000,0.000,0.000,0.000,0.039,-355801231.330,0.098,510996050.888,0.164,-80679358.987,0.202,243959713.009,0.238,154537309.266
7.999,3233.046,31.996,1185.575,50.660,3190.958,69.325,889.961,98.654,999.282,2.625,533741.399,20.997,172672.699,49.869,1219636.842,68.241,188293.107,97.113,171970.865,0.021,1465125499.370,0.060,169452410.690,0.119,579010921.064,0.158,418643283.670,0.217,144206442.791,10,1989,50,1947,0,0,0,0,0,0,13.123,288637.792,49.869,685567.211,73.491,68009.428,99.738,135376.316,133.858,30138.109,0,-2147483648,0,0,0,0,0,0,0,0,7.999,2713.082,50.660,1540.450,69.325,429.653,98.654,827.904,133.317,530.202,7.874,468904.810,49.869,249348.395,68.241,45975.569,86.614,41877.463,102.362,127512.613,0.021,901775795.778,0.060,-79655083.473,0.116,340278320.899,0.158,463262439.557,0.199,-40450864.838
7.999,2663.325,31.996,868.851,50.660,3472.610,69.325,580.181,101.321,1382.131,7.874,1200005.090,36.745,217318.756,49.869,2456431.113,86.614,245677.511,99.738,444574.065,0.021,1649673283.091,0.060,541228208.747,0.101,663519391.837,0.140,591640819.046,0.182,48430471.039,10,1644,50,2029,0,0,0,0,0,0,10.499,620346.322,31.496,21251.698,49.869,625000.334,78.740,37637.872,99.738,168613.532,0,0,0,0,0,0,0,0,0,0,7.999,2170.644,31.996,391.747,50.660,1724.278,69.325,479.853,101.321,1162.496,7.874,878363.390,31.496,34042.472,49.869,570376.585,86.614,114184.712,99.738,243382.187,0.021,850342786.602,0.060,124323752.111,0.101,401020844.116,0.131,217840331.249,0.161,447589827.885
10.665,1334.433,31.996,1030.455,50.660,2167.468,87.989,806.152,111.986,154.564,2.000,1949976.000,49.000,286200.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,1493364449.110,0.060,754404810.856,0.095,174866466.765,0.179,293690615.135,0.217,221289277.819,10,1604,50,1535,0,0,0,0,0,0,10.000,434609.000,34.000,32941.000,49.000,151036.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,5.333,1824.457,26.663,956.851,50.660,1111.370,74.657,166.848,95.988,438.924,5.000,883926.000,20.000,66162.000,36.000,51253.000,49.000,113524.000,0.000,0.000,0.021,382466914.296,0.057,102250445.524,0.095,-125113024.022,0.161,-22013020.962,0.196,166970510.752
13.332,2592.857,50.660,1465.566,79.990,790.819,101.321,631.049,122.651,426.228,13.000,1185793.000,26.000,561567.000,49.000,451541.000,78.000,145056.000,0.000,0.000,0.039,122299200.025,0.077,381169546.460,0.119,-264191580.824,0.161,264592719.618,0.199,-32008223.612,7,1575,39,865,0,0,0,0,0,0,7.874,65040.201,20.997,225415.885,34.121,57572.954,49.869,116559.486,89.239,5204.494,0,0,0,0,0,0,0,0,0,0,13.332,1571.820,31.996,849.320,50.660,966.774,101.321,566.920,135.983,158.214,10.499,503462.673,26.247,500247.302,49.869,87800.730,70.866,79840.050,99.738,111353.790,0.039,319161950.185,0.080,347561888.268,0.113,77659285.586,0.158,297070040.266,0.196,103885493.265
13.332,2791.257,50.660,1871.779,79.990,885.736,101.321,497.685,127.984,458.846,2.625,601871.168,20.997,98897.676,34.121,189015.864,49.869,344776.353,78.740,55386.548,0.039,-178658086.510,0.080,291492126.207,0.140,141049470.125,0.182,-144611404.669,0.220,533524956.639,50,830,0,0,0,0,0,0,0,0,7.000,661682.000,39.000,121693.000,55.000,48607.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,10.665,2408.053,50.660,1504.736,69.325,566.104,98.654,564.300,127.984,339.576,10.499,623163.142,23.622,165174.585,36.745,24633.101,49.869,282865.973,68.241,31752.533,0.039,31921990.804,0.101,402388460.900,0.140,26396025.838,0.179,133579603.241,0.217,561201870.108
7.999,2585.077,50.660,1758.806,71.991,652.881,101.321,470.301,130.650,363.583,7.874,1811774.011,20.997,706676.416,49.869,385421.824,70.866,104164.144,99.738,62799.570,0.018,522536518.329,0.057,-329679130.628,0.098,413590733.140,0.140,440806115.947,0.196,67633856.367,10,1692,39,1195,0,0,0,0,0,0,10.499,275281.214,23.622,30692.708,49.869,216301.172,78.740,14791.173,99.738,30318.143,0,0,0,0,0,0,0,0,0,0,7.999,2919.467,37.329,1006.816,55.993,686.254,74.657,353.007,103.987,253.102,7.000,2063088.000,20.000,222037.000,36.000,174331.000,57.000,111993.000,0.000,0.000,0.015,657987050.942,0.137,496313502.295,0.193,-17123103.422,0.238,121795313.026,0.277,89344186.906
10.665,2423.225,50.660,2060.253,69.325,528.292,98.654,988.379,133.317,660.661,5.249,299178.705,23.622,129930.707,36.745,169017.676,49.869,755910.950,131.234,81732.258,0.021,495180972.070,0.080,776401833.970,0.119,112549684.327,0.161,170811670.570,0.196,426321145.234,50,1199,0,0,0,0,0,0,0,0,7.874,195814.592,49.869,282973.773,68.241,17648.981,99.738,48914.071,128.609,30164.569,0,0,0,0,0,0,0,0,0,0,7.999,1834.828,37.329,1746.058,61.326,502.697,98.654,692.853,125.318,350.655,5.249,634683.251,36.745,203293.733,49.869,481203.206,86.614,58355.096,99.738,88225.999,0.021,605870632.783,0.080,331329127.002,0.140,256820424.965,0.188,149996616.264,0.220,25485880.439
10.665,2484.150,29.330,1495.060,50.660,2312.778,77.324,598.116,98.654,866.286,7.874,2113656.658,20.997,120414.603,39.370,709462.832,57.743,102707.169,78.740,72019.002,0.021,1057020701.367,0.060,-251639413.669,0.101,789000967.108,0.140,259891987.716,0.179,528863503.055,50,970,0,0,0,0,0,0,0,0,7.000,798874.000,26.000,79183.000,39.000,115182.000,76.000,17514.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,7.999,2052.832,29.330,860.195,50.660,1919.500,77.324,589.801,101.321,805.940,7.874,712428.988,20.997,141436.267,39.370,396246.083,55.118,73720.586,99.738,126862.632,0.021,595170275.958,0.060,-63201172.729,0.101,316180955.757,0.137,65205984.023,0.188,15660028.081
