date_time,z
2018-09-20 15:30:41.730,5184
2018-09-20 15:30:41.732,5184
2018-09-20 15:30:41.735,-4908
2018-09-20 15:30:41.737,-4908
2018-09-20 15:30:41.739,-4908
2018-09-20 15:30:41.741,3560
2018-09-20 15:30:41.743,3560
2018-09-20 15:30:41.745,-8788
2018-09-20 15:30:41.748,-8788
2018-09-20 15:30:41.750,5412
2018-09-20 15:30:41.752,5412
2018-09-20 15:30:41.754,5412
2018-09-20 15:30:41.756,-4808
2018-09-20 15:30:41.758,-4808
2018-09-20 15:30:41.760,3984
2018-09-20 15:30:41.763,3984
2018-09-20 15:30:41.765,-9060
2018-09-20 15:30:41.767,-9060
2018-09-20 15:30:41.769,-9060
2018-09-20 15:30:41.771,5508
2018-09-20 15:30:41.773,5508
2018-09-20 15:30:41.776,-4976
2018-09-20 15:30:41.778,-4976
2018-09-20 15:30:41.780,3692
2018-09-20 15:30:41.782,3692
2018-09-20 15:30:41.784,3692
2018-09-20 15:30:41.786,-9156
2018-09-20 15:30:41.788,-9156
2018-09-20 15:30:41.790,5432
2018-09-20 15:30:41.793,5432
2018-09-20 15:30:41.795,-4728
2018-09-20 15:30:41.797,-4728
2018-09-20 15:30:41.799,-4728
2018-09-20 15:30:41.801,3340
2018-09-20 15:30:41.804,3340
2018-09-20 15:30:41.806,-8812
2018-09-20 15:30:41.808,-8812
2018-09-20 15:30:41.810,-8812
2018-09-20 15:30:41.812,5348
2018-09-20 15:30:41.814,5348
2018-09-20 15:30:41.817,-4440
2018-09-20 15:30:41.819,-4440
2018-09-20 15:30:41.822,2796
2018-09-20 15:30:41.824,2796
2018-09-20 15:30:41.826,-8424
2018-09-20 15:30:41.829,-8424
2018-09-20 15:30:41.831,5244
2018-09-20 15:30:41.833,5244
2018-09-20 15:30:41.836,-4112
2018-09-20 15:30:41.839,-4112
2018-09-20 15:30:41.841,2112
2018-09-20 15:30:41.843,2112
2018-09-20 15:30:41.845,-8272
2018-09-20 15:30:41.848,-8272
2018-09-20 15:30:41.850,-8272
2018-09-20 15:30:41.852,5212
2018-09-20 15:30:41.854,5212
2018-09-20 15:30:41.857,-3612
2018-09-20 15:30:41.859,-3612
2018-09-20 15:30:41.861,1572
2018-09-20 15:30:41.864,1572
2018-09-20 15:30:41.866,-7532
2018-09-20 15:30:41.868,-7532
2018-09-20 15:30:41.870,-7532
2018-09-20 15:30:41.872,4300
2018-09-20 15:30:41.875,4300
2018-09-20 15:30:41.877,-3108
2018-09-20 15:30:41.879,-3108
2018-09-20 15:30:41.882,784
2018-09-20 15:30:41.884,784
2018-09-20 15:30:41.886,-6696
2018-09-20 15:30:41.888,-6696
2018-09-20 15:30:41.891,-6696
2018-09-20 15:30:41.893,3864
2018-09-20 15:30:41.895,3864
2018-09-20 15:30:41.897,-2464
2018-09-20 15:30:41.900,-2464
2018-09-20 15:30:41.902,-44
2018-09-20 15:30:41.904,-44
