date_time,z
2018-09-20 15:33:50.586,72
2018-09-20 15:33:50.589,-3692
2018-09-20 15:33:50.591,-3692
2018-09-20 15:33:50.595,-2388
2018-09-20 15:33:50.598,972
2018-09-20 15:33:50.601,972
2018-09-20 15:33:50.603,408
2018-09-20 15:33:50.608,408
2018-09-20 15:33:50.611,-4448
2018-09-20 15:33:50.614,-1456
2018-09-20 15:33:50.616,-1456
2018-09-20 15:33:50.619,556
2018-09-20 15:33:50.621,556
2018-09-20 15:33:50.627,668
2018-09-20 15:33:50.629,-4936
2018-09-20 15:33:50.631,-4936
2018-09-20 15:33:50.634,-800
2018-09-20 15:33:50.639,-800
2018-09-20 15:33:50.642,144
2018-09-20 15:33:50.644,856
2018-09-20 15:33:50.647,856
2018-09-20 15:33:50.649,-5500
2018-09-20 15:33:50.651,-5500
2018-09-20 15:33:50.653,-5500
2018-09-20 15:33:50.655,-76
2018-09-20 15:33:50.657,-76
2018-09-20 15:33:50.659,-352
2018-09-20 15:33:50.662,-352
2018-09-20 15:33:50.664,948
2018-09-20 15:33:50.666,948
2018-09-20 15:33:50.669,-5904
2018-09-20 15:33:50.671,-5904
2018-09-20 15:33:50.673,-5904
2018-09-20 15:33:50.676,700
2018-09-20 15:33:50.678,700
2018-09-20 15:33:50.680,-620
2018-09-20 15:33:50.682,-620
2018-09-20 15:33:50.685,1280
2018-09-20 15:33:50.687,1280
2018-09-20 15:33:50.689,-6308
2018-09-20 15:33:50.691,-6308
2018-09-20 15:33:50.694,1324
2018-09-20 15:33:50.696,1324
2018-09-20 15:33:50.699,-1088
2018-09-20 15:33:50.701,-1088
2018-09-20 15:33:50.704,-1088
2018-09-20 15:33:50.706,1356
2018-09-20 15:33:50.708,1356
2018-09-20 15:33:50.710,-6500
2018-09-20 15:33:50.713,-6500
2018-09-20 15:33:50.715,1768
2018-09-20 15:33:50.717,1768
2018-09-20 15:33:50.719,-1188
2018-09-20 15:33:50.722,-1188
2018-09-20 15:33:50.724,-1188
2018-09-20 15:33:50.726,1176
2018-09-20 15:33:50.729,1176
2018-09-20 15:33:50.731,-6572
2018-09-20 15:33:50.733,-6572
2018-09-20 15:33:50.735,2076
2018-09-20 15:33:50.738,2076
2018-09-20 15:33:50.740,-1172
2018-09-20 15:33:50.742,-1172
2018-09-20 15:33:50.745,1072
2018-09-20 15:33:50.747,1072
2018-09-20 15:33:50.749,1072
2018-09-20 15:33:50.752,-6696
2018-09-20 15:33:50.754,-6696
2018-09-20 15:33:50.756,2304
2018-09-20 15:33:50.758,2304
2018-09-20 15:33:50.761,-1420
2018-09-20 15:33:50.763,-1420
2018-09-20 15:33:50.765,776
2018-09-20 15:33:50.767,776
2018-09-20 15:33:50.770,776
2018-09-20 15:33:50.772,-6572
2018-09-20 15:33:50.774,-6572
2018-09-20 15:33:50.777,2620
2018-09-20 15:33:50.779,2620
2018-09-20 15:33:50.781,-1312
2018-09-20 15:33:50.783,-1312
2018-09-20 15:33:50.786,360
2018-09-20 15:33:50.788,360
2018-09-20 15:33:50.790,360
2018-09-20 15:33:50.792,-6388
2018-09-20 15:33:50.795,-6388
2018-09-20 15:33:50.797,2788
2018-09-20 15:33:50.799,2788
2018-09-20 15:33:50.801,-1224
2018-09-20 15:33:50.804,-1224
2018-09-20 15:33:50.806,-228
2018-09-20 15:33:50.808,-228
2018-09-20 15:33:50.810,-228
2018-09-20 15:33:50.813,-5984
2018-09-20 15:33:50.815,-5984
2018-09-20 15:33:50.817,2688
2018-09-20 15:33:50.820,2688
2018-09-20 15:33:50.822,-1056
2018-09-20 15:33:50.824,-1056
2018-09-20 15:33:50.826,-932
2018-09-20 15:33:50.829,-932
2018-09-20 15:33:50.831,-932
2018-09-20 15:33:50.833,-5352
2018-09-20 15:33:50.835,-5352
2018-09-20 15:33:50.838,2400
2018-09-20 15:33:50.840,2400
2018-09-20 15:33:50.842,-820
2018-09-20 15:33:50.844,-820
2018-09-20 15:33:50.847,-1608
2018-09-20 15:33:50.849,-1608
2018-09-20 15:33:50.851,-1608
2018-09-20 15:33:50.853,-4712
2018-09-20 15:33:50.856,-4712
2018-09-20 15:33:50.858,2340
2018-09-20 15:33:50.860,2340
2018-09-20 15:33:50.862,-592
2018-09-20 15:33:50.865,-592
2018-09-20 15:33:50.867,-2276
2018-09-20 15:33:50.869,-2276
2018-09-20 15:33:50.871,-2276
2018-09-20 15:33:50.874,-4076
2018-09-20 15:33:50.876,-4076
2018-09-20 15:33:50.878,1932
2018-09-20 15:33:50.880,1932
2018-09-20 15:33:50.883,-308
2018-09-20 15:33:50.885,-308
2018-09-20 15:33:50.887,-2944
2018-09-20 15:33:50.890,-2944
2018-09-20 15:33:50.892,-2944
2018-09-20 15:33:50.894,-3072
2018-09-20 15:33:50.897,-3072
2018-09-20 15:33:50.899,1684
2018-09-20 15:33:50.901,1684
2018-09-20 15:33:50.903,-104
2018-09-20 15:33:50.906,-104
2018-09-20 15:33:50.908,-3656
2018-09-20 15:33:50.910,-3656
2018-09-20 15:33:50.912,-2412
2018-09-20 15:33:50.915,-2412
2018-09-20 15:33:50.917,-2412
2018-09-20 15:33:50.919,1208
2018-09-20 15:33:50.922,1208
2018-09-20 15:33:50.924,312
2018-09-20 15:33:50.926,312
2018-09-20 15:33:50.928,-4252
2018-09-20 15:33:50.931,-4252
2018-09-20 15:33:50.933,-1508
2018-09-20 15:33:50.935,-1508
2018-09-20 15:33:50.937,-1508
2018-09-20 15:33:50.940,612
2018-09-20 15:33:50.942,612
2018-09-20 15:33:50.944,552
2018-09-20 15:33:50.946,552
2018-09-20 15:33:50.948,-4760
2018-09-20 15:33:50.951,-4760
2018-09-20 15:33:50.953,-880
2018-09-20 15:33:50.955,-880
2018-09-20 15:33:50.957,-880
2018-09-20 15:33:50.960,184
2018-09-20 15:33:50.962,184
2018-09-20 15:33:50.964,760
2018-09-20 15:33:50.966,760
2018-09-20 15:33:50.969,-5404
2018-09-20 15:33:50.971,-5404
2018-09-20 15:33:50.973,-60
2018-09-20 15:33:50.975,-60
2018-09-20 15:33:50.978,-60
2018-09-20 15:33:50.980,-84
2018-09-20 15:33:50.982,-84
2018-09-20 15:33:50.984,1072
2018-09-20 15:33:50.987,1072
2018-09-20 15:33:50.989,-5956
2018-09-20 15:33:50.991,-5956
2018-09-20 15:33:50.993,672
2018-09-20 15:33:50.996,672
2018-09-20 15:33:50.998,672
2018-09-20 15:33:51.000,-788
2018-09-20 15:33:51.002,-788
2018-09-20 15:33:51.005,1272
2018-09-20 15:33:51.007,1272
2018-09-20 15:33:51.009,-6188
2018-09-20 15:33:51.011,-6188
2018-09-20 15:33:51.014,-6188
2018-09-20 15:33:51.016,1336
2018-09-20 15:33:51.018,1336
2018-09-20 15:33:51.020,-1184
2018-09-20 15:33:51.023,-1184
2018-09-20 15:33:51.025,1148
2018-09-20 15:33:51.027,1148
2018-09-20 15:33:51.029,-6652
2018-09-20 15:33:51.032,-6652
2018-09-20 15:33:51.034,-6652
2018-09-20 15:33:51.036,1940
2018-09-20 15:33:51.038,1940
2018-09-20 15:33:51.041,-1180
2018-09-20 15:33:51.043,-1180
2018-09-20 15:33:51.045,1072
2018-09-20 15:33:51.047,1072
2018-09-20 15:33:51.050,-6660
2018-09-20 15:33:51.052,-6660
2018-09-20 15:33:51.054,-6660
2018-09-20 15:33:51.056,2244
2018-09-20 15:33:51.059,2244
2018-09-20 15:33:51.061,-1544
2018-09-20 15:33:51.063,-1544
2018-09-20 15:33:51.065,884
2018-09-20 15:33:51.068,884
2018-09-20 15:33:51.070,-6548
2018-09-20 15:33:51.072,-6548
2018-09-20 15:33:51.075,-6548
2018-09-20 15:33:51.077,2604
2018-09-20 15:33:51.079,2604
2018-09-20 15:33:51.081,-1636
2018-09-20 15:33:51.084,-1636
2018-09-20 15:33:51.086,672
2018-09-20 15:33:51.088,672
2018-09-20 15:33:51.090,-6468
2018-09-20 15:33:51.093,-6468
2018-09-20 15:33:51.095,-6468
2018-09-20 15:33:51.097,2796
2018-09-20 15:33:51.099,2796
2018-09-20 15:33:51.102,-1500
2018-09-20 15:33:51.104,-1500
2018-09-20 15:33:51.106,212
2018-09-20 15:33:51.108,212
2018-09-20 15:33:51.111,-6308
2018-09-20 15:33:51.113,-6308
2018-09-20 15:33:51.115,-6308
2018-09-20 15:33:51.118,2916
2018-09-20 15:33:51.120,2916
2018-09-20 15:33:51.122,-1440
2018-09-20 15:33:51.124,-1440
2018-09-20 15:33:51.127,-384
2018-09-20 15:33:51.129,-384
2018-09-20 15:33:51.131,-5792
2018-09-20 15:33:51.133,-5792
2018-09-20 15:33:51.136,-5792
2018-09-20 15:33:51.138,2788
2018-09-20 15:33:51.140,2788
2018-09-20 15:33:51.142,-1180
2018-09-20 15:33:51.145,-1180
2018-09-20 15:33:51.147,-876
2018-09-20 15:33:51.149,-876
2018-09-20 15:33:51.151,-5248
2018-09-20 15:33:51.154,-5248
2018-09-20 15:33:51.156,2512
2018-09-20 15:33:51.158,2512
2018-09-20 15:33:51.160,2512
2018-09-20 15:33:51.163,-844
2018-09-20 15:33:51.165,-844
2018-09-20 15:33:51.167,-1680
2018-09-20 15:33:51.169,-1680
2018-09-20 15:33:51.172,-4496
2018-09-20 15:33:51.174,-4496
2018-09-20 15:33:51.176,-4496
2018-09-20 15:33:51.178,2212
2018-09-20 15:33:51.181,2212
2018-09-20 15:33:51.183,-748
2018-09-20 15:33:51.185,-748
2018-09-20 15:33:51.188,-2316
2018-09-20 15:33:51.190,-2316
2018-09-20 15:33:51.192,-3692
2018-09-20 15:33:51.194,-3692
2018-09-20 15:33:51.197,1828
2018-09-20 15:33:51.199,1828
2018-09-20 15:33:51.201,1828
2018-09-20 15:33:51.203,-500
2018-09-20 15:33:51.206,-500
2018-09-20 15:33:51.208,-3136
2018-09-20 15:33:51.212,-3136
2018-09-20 15:33:51.214,-2836
2018-09-20 15:33:51.216,-2836
2018-09-20 15:33:51.218,1504
2018-09-20 15:33:51.221,1504
2018-09-20 15:33:51.223,-84
2018-09-20 15:33:51.225,-84
2018-09-20 15:33:51.227,-3868
2018-09-20 15:33:51.230,-3868
2018-09-20 15:33:51.232,-3868
2018-09-20 15:33:51.234,-2052
2018-09-20 15:33:51.236,-2052
2018-09-20 15:33:51.239,872
2018-09-20 15:33:51.241,872
2018-09-20 15:33:51.243,280
2018-09-20 15:33:51.245,280
2018-09-20 15:33:51.248,-4348
2018-09-20 15:33:51.250,-4348
2018-09-20 15:33:51.252,-4348
2018-09-20 15:33:51.254,-1268
2018-09-20 15:33:51.257,-1268
2018-09-20 15:33:51.259,284
2018-09-20 15:33:51.261,284
2018-09-20 15:33:51.263,668
2018-09-20 15:33:51.266,668
2018-09-20 15:33:51.268,-5080
2018-09-20 15:33:51.270,-5080
2018-09-20 15:33:51.272,-5080
2018-09-20 15:33:51.275,-280
2018-09-20 15:33:51.277,-280
2018-09-20 15:33:51.279,-316
2018-09-20 15:33:51.282,-316
2018-09-20 15:33:51.284,916
2018-09-20 15:33:51.286,916
2018-09-20 15:33:51.288,-5684
2018-09-20 15:33:51.291,-5684
2018-09-20 15:33:51.293,-5684
2018-09-20 15:33:51.295,500
2018-09-20 15:33:51.297,500
2018-09-20 15:33:51.300,-636
2018-09-20 15:33:51.302,-636
2018-09-20 15:33:51.304,996
2018-09-20 15:33:51.306,996
2018-09-20 15:33:51.309,-6100
2018-09-20 15:33:51.311,-6100
2018-09-20 15:33:51.313,-6100
2018-09-20 15:33:51.315,1096
2018-09-20 15:33:51.318,1096
2018-09-20 15:33:51.320,-1016
2018-09-20 15:33:51.322,-1016
2018-09-20 15:33:51.324,1244
2018-09-20 15:33:51.327,1244
