date_time,x,y,z,i
2018-09-20 15:35:14.631,-432,16184,-1100,2123
2018-09-20 15:35:14.634,-448,16200,-1032,2140
2018-09-20 15:35:14.637,-448,16252,-1056,2134
2018-09-20 15:35:14.639,-484,16252,-1056,2143
2018-09-20 15:35:14.641,-484,16252,-1056,2137
2018-09-20 15:35:14.643,-808,16476,-912,2144
2018-09-20 15:35:14.645,-808,16476,-912,2144
2018-09-20 15:35:14.648,-824,16600,-724,2137
2018-09-20 15:35:14.650,-824,16600,-724,2144
2018-09-20 15:35:14.652,-892,16776,-608,2135
2018-09-20 15:35:14.654,-892,16776,-608,2140
2018-09-20 15:35:14.656,-892,16776,-608,2142
2018-09-20 15:35:14.658,-912,16856,-620,2142
2018-09-20 15:35:14.660,-912,16856,-620,2141
2018-09-20 15:35:14.663,-884,16704,-876,2145
2018-09-20 15:35:14.665,-884,16704,-876,2147
2018-09-20 15:35:14.667,-884,16492,-940,2142
2018-09-20 15:35:14.669,-840,16492,-940,2141
2018-09-20 15:35:14.671,-840,16492,-940,2146
2018-09-20 15:35:14.673,-808,16332,-976,2135
2018-09-20 15:35:14.676,-808,16332,-976,2146
2018-09-20 15:35:14.678,-800,16464,-984,2142
2018-09-20 15:35:14.680,-800,16464,-984,2147
2018-09-20 15:35:14.682,-800,16464,-984,2142
2018-09-20 15:35:14.684,-792,16408,-1104,2146
2018-09-20 15:35:14.686,-792,16408,-1104,2148
2018-09-20 15:35:14.688,-788,16244,-1092,2134
2018-09-20 15:35:14.690,-788,16244,-1092,2132
2018-09-20 15:35:14.692,-688,16184,-1216,2141
2018-09-20 15:35:14.695,-688,16184,-1216,2142
2018-09-20 15:35:14.697,-688,16184,-1216,2139
2018-09-20 15:35:14.699,-588,16036,-1336,2139
2018-09-20 15:35:14.701,-588,16036,-1336,2145
2018-09-20 15:35:14.703,-548,16048,-1364,2146
2018-09-20 15:35:14.705,-548,16048,-1364,2141
2018-09-20 15:35:14.707,-548,16048,-1500,2141
2018-09-20 15:35:14.710,-508,16036,-1500,2140
2018-09-20 15:35:14.712,-508,16036,-1500,2145
2018-09-20 15:35:14.714,-440,16048,-1548,2139
2018-09-20 15:35:14.716,-440,16048,-1548,2142
2018-09-20 15:35:14.720,-416,15988,-1536,2143
2018-09-20 15:35:14.722,-416,15988,-1536,2139
2018-09-20 15:35:14.726,-536,15952,-1468,2142
2018-09-20 15:35:14.728,-536,16020,-1528,2141
2018-09-20 15:35:14.730,-568,16020,-1528,2141
2018-09-20 15:35:14.732,-568,16020,-1528,2141
2018-09-20 15:35:14.735,-500,16028,-1372,2140
2018-09-20 15:35:14.737,-500,16028,-1372,2146
2018-09-20 15:35:14.739,-532,16084,-1188,2139
2018-09-20 15:35:14.741,-532,16084,-1188,2139
2018-09-20 15:35:14.744,-536,16320,-1020,2138
2018-09-20 15:35:14.746,-536,16320,-1020,2140
2018-09-20 15:35:14.748,-608,16292,-1108,2141
2018-09-20 15:35:14.751,-608,16292,-1108,2143
2018-09-20 15:35:14.753,-608,16292,-1128,2144
2018-09-20 15:35:14.755,-624,16344,-1128,2139
2018-09-20 15:35:14.758,-624,16344,-1128,2137
2018-09-20 15:35:14.760,-736,16268,-1024,2137
2018-09-20 15:35:14.762,-736,16268,-1024,2139
2018-09-20 15:35:14.765,-776,16404,-1024,2143
2018-09-20 15:35:14.767,-776,16404,-1024,2146
2018-09-20 15:35:14.769,-816,16284,-1016,2141
2018-09-20 15:35:14.771,-816,16284,-1016,2140
2018-09-20 15:35:14.774,-740,16292,-1080,2137
2018-09-20 15:35:14.776,-740,16292,-1080,2143
2018-09-20 15:35:14.778,-740,16292,-1048,2146
2018-09-20 15:35:14.781,-672,16372,-1048,2141
2018-09-20 15:35:14.783,-672,16372,-1048,2145
2018-09-20 15:35:14.785,-3100,17732,-1180,2149
2018-09-20 15:35:14.787,-3100,17732,-1180,2143
2018-09-20 15:35:14.790,2988,14368,-5364,2144
2018-09-20 15:35:14.792,2988,14368,-5364,2142
2018-09-20 15:35:14.794,-4824,14152,2408,2142
2018-09-20 15:35:14.796,-4824,14152,2408,2145
2018-09-20 15:35:14.799,-4824,18728,-1448,2150
2018-09-20 15:35:14.801,3516,18728,-1448,2150
2018-09-20 15:35:14.803,3516,18728,-1448,2140
2018-09-20 15:35:14.806,-3324,16060,60,2143
2018-09-20 15:35:14.808,-3324,16060,60,2141
2018-09-20 15:35:14.810,-1724,17416,-1956,2143
2018-09-20 15:35:14.812,-1724,17416,-1956,2144
2018-09-20 15:35:14.815,-160,16292,-2028,2144
2018-09-20 15:35:14.817,-160,16292,-2028,2139
2018-09-20 15:35:14.819,-160,15424,-636,2143
2018-09-20 15:35:14.821,-1416,15424,-636,2138
2018-09-20 15:35:14.824,-1416,15424,-636,2153
2018-09-20 15:35:14.826,-976,16704,-1852,2143
2018-09-20 15:35:14.828,-976,16704,-1852,2139
2018-09-20 15:35:14.830,-1012,16148,-2244,2141
2018-09-20 15:35:14.833,-1012,16148,-2244,2151
2018-09-20 15:35:14.835,800,14836,-3484,2134
2018-09-20 15:35:14.837,800,14836,-3484,2145
2018-09-20 15:35:14.839,-180,15320,-1644,2144
2018-09-20 15:35:14.842,-180,15320,-1644,2144
2018-09-20 15:35:14.844,-180,15320,-1644,2143
2018-09-20 15:35:14.846,-416,15652,-948,2145
2018-09-20 15:35:14.848,-416,15652,-948,2142
2018-09-20 15:35:14.851,-548,15780,-1596,2147
2018-09-20 15:35:14.853,-548,15780,-1596,2143
2018-09-20 15:35:14.855,-640,16656,-1384,2152
2018-09-20 15:35:14.858,-640,16656,-1384,2143
2018-09-20 15:35:14.860,-832,17192,-716,2147
2018-09-20 15:35:14.862,-832,17192,-716,2134
2018-09-20 15:35:14.864,-832,17192,-716,2141
2018-09-20 15:35:14.867,-1068,16848,-404,2150
2018-09-20 15:35:14.869,-1068,16848,-404,2143
2018-09-20 15:35:14.871,-820,16728,-572,2145
2018-09-20 15:35:14.873,-820,16728,-572,2143
2018-09-20 15:35:14.876,-1116,16756,-352,2139
2018-09-20 15:35:14.878,-1116,16756,-352,2143
2018-09-20 15:35:14.880,-712,16528,-424,2143
2018-09-20 15:35:14.882,-712,16528,-424,2139
2018-09-20 15:35:14.885,-712,16528,-424,2141
2018-09-20 15:35:14.887,-1160,16772,-96,2143
2018-09-20 15:35:14.889,-1160,16772,-96,2150
2018-09-20 15:35:14.891,-668,16852,-636,2140
2018-09-20 15:35:14.894,-668,16852,-636,2140
2018-09-20 15:35:14.896,-688,16308,-704,2147
2018-09-20 15:35:14.898,-688,16308,-704,2148
2018-09-20 15:35:14.900,-688,16420,-776,2143
2018-09-20 15:35:14.903,-688,16420,-776,2142
2018-09-20 15:35:14.905,-688,16420,-776,2149
2018-09-20 15:35:14.907,-616,16248,-1008,2141
2018-09-20 15:35:14.910,-616,16248,-1008,2147
2018-09-20 15:35:14.912,-340,16184,-1256,2138
2018-09-20 15:35:14.914,-340,16184,-1256,2138
2018-09-20 15:35:14.916,-308,16108,-1308,2141
2018-09-20 15:35:14.919,-308,16108,-1308,2144
2018-09-20 15:35:14.921,-308,16020,-1184,2141
2018-09-20 15:35:14.923,-524,16020,-1184,2152
2018-09-20 15:35:14.925,-524,16020,-1184,2146
2018-09-20 15:35:14.928,-552,16080,-1472,2148
2018-09-20 15:35:14.930,-552,16080,-1472,2143
2018-09-20 15:35:14.932,-212,16116,-1912,2143
2018-09-20 15:35:14.934,-212,16116,-1912,2137
2018-09-20 15:35:14.937,-776,16080,-1440,2144
2018-09-20 15:35:14.939,-776,16080,-1440,2141
2018-09-20 15:35:14.941,-556,16056,-1536,2141
2018-09-20 15:35:14.943,-556,16056,-1536,2136
2018-09-20 15:35:14.946,-556,16056,-1536,2148
2018-09-20 15:35:14.948,-816,15904,-1228,2146
2018-09-20 15:35:14.950,-816,15904,-1228,2147
2018-09-20 15:35:14.953,-944,16284,-1168,2140
2018-09-20 15:35:14.955,-944,16284,-1168,2138
2018-09-20 15:35:14.957,-744,16400,-1292,2148
2018-09-20 15:35:14.959,-744,16400,-1292,2138
2018-09-20 15:35:14.962,-868,16320,-1112,2140
2018-09-20 15:35:14.964,-868,16320,-1112,2139
2018-09-20 15:35:14.966,-868,16320,-1360,2144
2018-09-20 15:35:14.969,-880,16428,-1360,2142
2018-09-20 15:35:14.971,-880,16428,-1360,2152
2018-09-20 15:35:14.973,-656,16108,-1284,2143
2018-09-20 15:35:14.975,-656,16108,-1284,2132
2018-09-20 15:35:14.978,-700,16100,-1144,2141
2018-09-20 15:35:14.980,-700,16100,-1144,2142
2018-09-20 15:35:14.982,-516,16108,-1216,2134
2018-09-20 15:35:14.985,-516,16108,-1216,2133
2018-09-20 15:35:14.987,-368,15988,-1136,2144
2018-09-20 15:35:14.989,-368,15988,-1136,2138
2018-09-20 15:35:14.991,-368,15988,-1136,2142
2018-09-20 15:35:14.994,-476,16404,-956,2146
2018-09-20 15:35:14.996,-476,16404,-956,2144
2018-09-20 15:35:14.998,-568,16500,-1080,2148
2018-09-20 15:35:15.001,-568,16500,-1080,2145
2018-09-20 15:35:15.003,-652,16196,-1224,2141
2018-09-20 15:35:15.005,-652,16196,-1224,2147
2018-09-20 15:35:15.007,-768,16132,-696,2142
2018-09-20 15:35:15.010,-768,16132,-696,2143
2018-09-20 15:35:15.012,-768,16132,-876,2144
2018-09-20 15:35:15.014,-964,16840,-876,2140
2018-09-20 15:35:15.016,-964,16840,-876,2148
2018-09-20 15:35:15.019,-684,16516,-1584,2142
2018-09-20 15:35:15.021,-684,16516,-1584,2143
2018-09-20 15:35:15.023,-832,16140,-1460,2138
2018-09-20 15:35:15.025,-832,16140,-1460,2140
2018-09-20 15:35:15.028,-524,16020,-1512,2135
2018-09-20 15:35:15.030,-524,16020,-1512,2142
2018-09-20 15:35:15.032,-524,16020,-1376,2142
2018-09-20 15:35:15.034,-348,15628,-1376,2141
2018-09-20 15:35:15.037,-348,15628,-1376,2137
2018-09-20 15:35:15.039,-428,16032,-1296,2140
2018-09-20 15:35:15.041,-428,16032,-1296,2143
2018-09-20 15:35:15.043,-344,16184,-1268,2146
2018-09-20 15:35:15.046,-344,16184,-1268,2137
