date_time,z
2018-09-20 15:24:10.452,2060
2018-09-20 15:24:10.456,-6080
2018-09-20 15:24:10.458,1356
2018-09-20 15:24:10.460,1356
2018-09-20 15:24:10.462,1356
2018-09-20 15:24:10.465,-1860
2018-09-20 15:24:10.467,-1860
2018-09-20 15:24:10.469,1608
2018-09-20 15:24:10.471,1608
2018-09-20 15:24:10.473,-6220
2018-09-20 15:24:10.475,-6220
2018-09-20 15:24:10.478,-6220
2018-09-20 15:24:10.480,1364
2018-09-20 15:24:10.482,1364
2018-09-20 15:24:10.484,-1652
2018-09-20 15:24:10.486,-1652
2018-09-20 15:24:10.488,1476
2018-09-20 15:24:10.491,1476
2018-09-20 15:24:10.493,1476
2018-09-20 15:24:10.495,-6104
2018-09-20 15:24:10.497,-6104
2018-09-20 15:24:10.499,1672
2018-09-20 15:24:10.501,1672
2018-09-20 15:24:10.503,-1020
2018-09-20 15:24:10.505,-1020
2018-09-20 15:24:10.508,-1020
2018-09-20 15:24:10.510,876
2018-09-20 15:24:10.512,876
2018-09-20 15:24:10.514,-5848
2018-09-20 15:24:10.516,-5848
2018-09-20 15:24:10.518,-5848
2018-09-20 15:24:10.520,1348
2018-09-20 15:24:10.522,1348
2018-09-20 15:24:10.525,-980
2018-09-20 15:24:10.527,-980
2018-09-20 15:24:10.530,776
2018-09-20 15:24:10.532,776
2018-09-20 15:24:10.534,-5500
2018-09-20 15:24:10.536,-5500
2018-09-20 15:24:10.539,-5500
2018-09-20 15:24:10.541,856
2018-09-20 15:24:10.543,856
2018-09-20 15:24:10.546,-456
2018-09-20 15:24:10.548,-456
2018-09-20 15:24:10.552,-340
2018-09-20 15:24:10.554,-4980
2018-09-20 15:24:10.558,-4980
2018-09-20 15:24:10.560,1228
2018-09-20 15:24:10.562,1228
2018-09-20 15:24:10.565,-280
2018-09-20 15:24:10.567,-280
2018-09-20 15:24:10.569,-280
2018-09-20 15:24:10.571,-704
2018-09-20 15:24:10.574,-704
2018-09-20 15:24:10.576,-4424
2018-09-20 15:24:10.578,-4424
2018-09-20 15:24:10.580,856
2018-09-20 15:24:10.583,856
2018-09-20 15:24:10.585,484
2018-09-20 15:24:10.587,484
2018-09-20 15:24:10.590,-1588
2018-09-20 15:24:10.592,-1588
2018-09-20 15:24:10.595,-1588
2018-09-20 15:24:10.601,356
2018-09-20 15:24:10.603,356
2018-09-20 15:24:10.606,764
2018-09-20 15:24:10.608,764
2018-09-20 15:24:10.610,-2464
2018-09-20 15:24:10.612,-2464
2018-09-20 15:24:10.615,-2464
2018-09-20 15:24:10.617,-2808
2018-09-20 15:24:10.619,-2808
2018-09-20 15:24:10.622,-704
2018-09-20 15:24:10.624,-704
2018-09-20 15:24:10.626,1124
2018-09-20 15:24:10.628,1124
2018-09-20 15:24:10.631,-3036
2018-09-20 15:24:10.633,-3036
2018-09-20 15:24:10.635,-3036
2018-09-20 15:24:10.637,-2184
2018-09-20 15:24:10.640,-2184
2018-09-20 15:24:10.642,-644
2018-09-20 15:24:10.644,-644
2018-09-20 15:24:10.647,1524
2018-09-20 15:24:10.649,1524
2018-09-20 15:24:10.651,-3876
2018-09-20 15:24:10.654,-3876
2018-09-20 15:24:10.656,-1316
2018-09-20 15:24:10.658,-1316
2018-09-20 15:24:10.662,-1140
2018-09-20 15:24:10.664,-1140
2018-09-20 15:24:10.667,1968
2018-09-20 15:24:10.669,1968
2018-09-20 15:24:10.675,-4716
2018-09-20 15:24:10.677,-568
2018-09-20 15:24:10.680,-568
2018-09-20 15:24:10.682,-1544
2018-09-20 15:24:10.685,-1544
2018-09-20 15:24:10.690,2080
2018-09-20 15:24:10.692,-5148
2018-09-20 15:24:10.695,-5148
2018-09-20 15:24:10.698,-88
2018-09-20 15:24:10.703,-1700
2018-09-20 15:24:10.706,-1700
2018-09-20 15:24:10.708,2096
2018-09-20 15:24:10.710,2096
2018-09-20 15:24:10.713,-5512
2018-09-20 15:24:10.717,264
2018-09-20 15:24:10.720,264
2018-09-20 15:24:10.723,-1812
2018-09-20 15:24:10.725,-1812
2018-09-20 15:24:10.728,-1812
2018-09-20 15:24:10.732,1948
2018-09-20 15:24:10.735,-6152
2018-09-20 15:24:10.737,-6152
2018-09-20 15:24:10.739,1424
2018-09-20 15:24:10.742,1424
2018-09-20 15:24:10.744,-1336
2018-09-20 15:24:10.746,-1336
2018-09-20 15:24:10.748,1304
2018-09-20 15:24:10.750,1304
2018-09-20 15:24:10.753,1304
2018-09-20 15:24:10.755,-5972
2018-09-20 15:24:10.757,-5972
2018-09-20 15:24:10.759,1444
2018-09-20 15:24:10.761,1444
2018-09-20 15:24:10.763,-940
2018-09-20 15:24:10.765,-940
2018-09-20 15:24:10.768,-940
2018-09-20 15:24:10.770,960
2018-09-20 15:24:10.772,960
2018-09-20 15:24:10.774,-5900
2018-09-20 15:24:10.777,-5900
2018-09-20 15:24:10.779,1324
2018-09-20 15:24:10.781,1324
2018-09-20 15:24:10.784,1324
2018-09-20 15:24:10.786,-720
2018-09-20 15:24:10.788,-720
2018-09-20 15:24:10.790,-144
2018-09-20 15:24:10.793,-144
2018-09-20 15:24:10.795,-5164
2018-09-20 15:24:10.797,-5164
2018-09-20 15:24:10.799,1004
2018-09-20 15:24:10.802,1004
2018-09-20 15:24:10.804,1004
2018-09-20 15:24:10.806,-516
2018-09-20 15:24:10.808,-516
2018-09-20 15:24:10.811,-472
2018-09-20 15:24:10.813,-472
2018-09-20 15:24:10.815,-4440
2018-09-20 15:24:10.817,-4440
2018-09-20 15:24:10.820,496
2018-09-20 15:24:10.822,496
2018-09-20 15:24:10.824,496
2018-09-20 15:24:10.826,588
2018-09-20 15:24:10.829,588
2018-09-20 15:24:10.831,-1324
2018-09-20 15:24:10.833,-1324
2018-09-20 15:24:10.836,-3772
2018-09-20 15:24:10.838,-3772
2018-09-20 15:24:10.840,132
2018-09-20 15:24:10.842,132
2018-09-20 15:24:10.845,132
2018-09-20 15:24:10.847,700
2018-09-20 15:24:10.849,700
2018-09-20 15:24:10.851,-1976
2018-09-20 15:24:10.854,-1976
2018-09-20 15:24:10.856,-3016
2018-09-20 15:24:10.858,-3016
2018-09-20 15:24:10.860,72
2018-09-20 15:24:10.863,72
2018-09-20 15:24:10.865,72
2018-09-20 15:24:10.867,896
2018-09-20 15:24:10.869,896
2018-09-20 15:24:10.872,-3036
2018-09-20 15:24:10.874,-3036
2018-09-20 15:24:10.876,-2696
2018-09-20 15:24:10.878,-2696
2018-09-20 15:24:10.881,-600
2018-09-20 15:24:10.883,-600
2018-09-20 15:24:10.885,-600
2018-09-20 15:24:10.888,1760
2018-09-20 15:24:10.890,1760
2018-09-20 15:24:10.892,-3820
2018-09-20 15:24:10.894,-3820
2018-09-20 15:24:10.897,-1964
2018-09-20 15:24:10.899,-1964
2018-09-20 15:24:10.901,-656
2018-09-20 15:24:10.904,-656
2018-09-20 15:24:10.906,1744
2018-09-20 15:24:10.908,1744
2018-09-20 15:24:10.910,1744
2018-09-20 15:24:10.913,-4156
2018-09-20 15:24:10.915,-4156
2018-09-20 15:24:10.917,-1208
2018-09-20 15:24:10.919,-1208
2018-09-20 15:24:10.922,-1064
2018-09-20 15:24:10.924,-1064
2018-09-20 15:24:10.926,2216
2018-09-20 15:24:10.929,2216
2018-09-20 15:24:10.931,2216
2018-09-20 15:24:10.933,-4680
2018-09-20 15:24:10.935,-4680
2018-09-20 15:24:10.938,-956
2018-09-20 15:24:10.940,-956
2018-09-20 15:24:10.942,-1040
2018-09-20 15:24:10.945,-1040
2018-09-20 15:24:10.947,2144
2018-09-20 15:24:10.949,2144
2018-09-20 15:24:10.951,2144
2018-09-20 15:24:10.953,-5052
2018-09-20 15:24:10.956,-5052
2018-09-20 15:24:10.958,-352
2018-09-20 15:24:10.960,-352
2018-09-20 15:24:10.963,-1460
2018-09-20 15:24:10.965,-1460
2018-09-20 15:24:10.967,2152
2018-09-20 15:24:10.969,2152
2018-09-20 15:24:10.972,-5496
2018-09-20 15:24:10.974,-5496
2018-09-20 15:24:10.976,-5496
2018-09-20 15:24:10.978,32
2018-09-20 15:24:10.981,32
2018-09-20 15:24:10.983,-1352
2018-09-20 15:24:10.985,-1352
2018-09-20 15:24:10.988,1984
2018-09-20 15:24:10.990,1984
2018-09-20 15:24:10.992,-5796
2018-09-20 15:24:10.994,-5796
2018-09-20 15:24:10.997,-5796
2018-09-20 15:24:10.999,796
2018-09-20 15:24:11.001,796
2018-09-20 15:24:11.003,-1772
2018-09-20 15:24:11.006,-1772
2018-09-20 15:24:11.008,2060
2018-09-20 15:24:11.010,2060
2018-09-20 15:24:11.012,-5856
2018-09-20 15:24:11.015,-5856
2018-09-20 15:24:11.017,-5856
2018-09-20 15:24:11.019,1200
2018-09-20 15:24:11.021,1200
2018-09-20 15:24:11.024,-1636
2018-09-20 15:24:11.026,-1636
2018-09-20 15:24:11.028,1680
2018-09-20 15:24:11.030,1680
2018-09-20 15:24:11.033,1680
2018-09-20 15:24:11.035,-6044
2018-09-20 15:24:11.037,-6044
2018-09-20 15:24:11.039,1236
2018-09-20 15:24:11.042,1236
2018-09-20 15:24:11.044,-1376
2018-09-20 15:24:11.046,-1376
2018-09-20 15:24:11.048,1128
2018-09-20 15:24:11.051,1128
2018-09-20 15:24:11.055,-5844
2018-09-20 15:24:11.057,-5844
2018-09-20 15:24:11.060,1484
2018-09-20 15:24:11.063,1484
2018-09-20 15:24:11.065,-1220
2018-09-20 15:24:11.068,-1220
2018-09-20 15:24:11.070,1024
2018-09-20 15:24:11.072,1024
2018-09-20 15:24:11.074,-5968
2018-09-20 15:24:11.077,-5968
2018-09-20 15:24:11.079,1328
2018-09-20 15:24:11.081,1328
2018-09-20 15:24:11.084,-756
2018-09-20 15:24:11.086,-756
2018-09-20 15:24:11.088,332
2018-09-20 15:24:11.092,332
2018-09-20 15:24:11.095,-5492
2018-09-20 15:24:11.097,-5492
2018-09-20 15:24:11.099,1504
2018-09-20 15:24:11.101,1504
2018-09-20 15:24:11.104,-720
2018-09-20 15:24:11.106,-720
2018-09-20 15:24:11.108,-720
2018-09-20 15:24:11.110,-112
2018-09-20 15:24:11.113,-112
2018-09-20 15:24:11.115,-5108
2018-09-20 15:24:11.117,-5108
2018-09-20 15:24:11.120,1068
2018-09-20 15:24:11.122,1068
2018-09-20 15:24:11.125,-20
2018-09-20 15:24:11.127,-20
2018-09-20 15:24:11.129,-644
2018-09-20 15:24:11.131,-644
2018-09-20 15:24:11.134,-644
2018-09-20 15:24:11.136,-4744
2018-09-20 15:24:11.138,-4744
2018-09-20 15:24:11.140,568
2018-09-20 15:24:11.143,568
2018-09-20 15:24:11.145,128
2018-09-20 15:24:11.148,128
2018-09-20 15:24:11.150,-1152
2018-09-20 15:24:11.152,-1152
2018-09-20 15:24:11.154,-4112
2018-09-20 15:24:11.157,-4112
2018-09-20 15:24:11.159,-4112
2018-09-20 15:24:11.161,508
2018-09-20 15:24:11.163,508
2018-09-20 15:24:11.166,440
2018-09-20 15:24:11.168,440
2018-09-20 15:24:11.170,-1772
2018-09-20 15:24:11.172,-1772
2018-09-20 15:24:11.175,-1772
2018-09-20 15:24:11.177,-3476
2018-09-20 15:24:11.179,-3476
2018-09-20 15:24:11.181,76
2018-09-20 15:24:11.184,76
2018-09-20 15:24:11.186,1276
2018-09-20 15:24:11.188,1276
2018-09-20 15:24:11.190,-2764
2018-09-20 15:24:11.193,-2764
2018-09-20 15:24:11.195,-3228
2018-09-20 15:24:11.197,-3228
2018-09-20 15:24:11.199,-3228
2018-09-20 15:24:11.202,-524
2018-09-20 15:24:11.204,-524
2018-09-20 15:24:11.206,1648
2018-09-20 15:24:11.209,1648
2018-09-20 15:24:11.211,-3388
2018-09-20 15:24:11.213,-3388
2018-09-20 15:24:11.215,-2156
2018-09-20 15:24:11.218,-2156
2018-09-20 15:24:11.220,-2156
2018-09-20 15:24:11.222,-732
2018-09-20 15:24:11.224,-732
2018-09-20 15:24:11.227,1732
2018-09-20 15:24:11.229,1732
2018-09-20 15:24:11.231,-3780
2018-09-20 15:24:11.233,-3780
2018-09-20 15:24:11.236,-1740
2018-09-20 15:24:11.238,-1740
2018-09-20 15:24:11.240,-1740
2018-09-20 15:24:11.243,-852
2018-09-20 15:24:11.245,-852
2018-09-20 15:24:11.247,1960
2018-09-20 15:24:11.249,1960
2018-09-20 15:24:11.252,-4472
2018-09-20 15:24:11.254,-4472
2018-09-20 15:24:11.256,-952
2018-09-20 15:24:11.258,-952
2018-09-20 15:24:11.261,-952
2018-09-20 15:24:11.263,-992
2018-09-20 15:24:11.265,-992
2018-09-20 15:24:11.268,1924
2018-09-20 15:24:11.270,1924
2018-09-20 15:24:11.272,-4700
2018-09-20 15:24:11.274,-4700
