date_time,x,y,z,i
2018-09-20 15:17:26.493,-792,16184,-1100,2135
2018-09-20 15:17:26.496,-836,16232,-1116,2135
2018-09-20 15:17:26.498,-836,16232,-1116,2140
2018-09-20 15:17:26.500,-784,16232,-1136,2136
2018-09-20 15:17:26.502,-784,16232,-1136,2141
2018-09-20 15:17:26.504,-808,16320,-1128,2132
2018-09-20 15:17:26.507,-808,16320,-1128,2130
2018-09-20 15:17:26.509,-808,16320,-1116,2131
2018-09-20 15:17:26.511,-800,16252,-1116,2140
2018-09-20 15:17:26.513,-800,16252,-1116,2138
2018-09-20 15:17:26.515,-792,16192,-1136,2148
2018-09-20 15:17:26.517,-792,16192,-1136,2138
2018-09-20 15:17:26.519,-704,16184,-1156,2140
2018-09-20 15:17:26.521,-704,16184,-1156,2141
2018-09-20 15:17:26.524,-704,16184,-1156,2139
2018-09-20 15:17:26.526,-740,16232,-1080,2137
2018-09-20 15:17:26.528,-740,16232,-1080,2142
2018-09-20 15:17:26.530,-760,16232,-1168,2135
2018-09-20 15:17:26.532,-760,16232,-1168,2142
2018-09-20 15:17:26.534,-776,16252,-1120,2144
2018-09-20 15:17:26.536,-776,16252,-1120,2141
2018-09-20 15:17:26.538,-776,16252,-1120,2133
2018-09-20 15:17:26.541,-776,16216,-1068,2144
2018-09-20 15:17:26.543,-776,16216,-1068,2141
2018-09-20 15:17:26.545,-736,16248,-1156,2140
2018-09-20 15:17:26.547,-736,16248,-1156,2146
2018-09-20 15:17:26.549,-736,16248,-1100,2143
2018-09-20 15:17:26.551,-812,16208,-1100,2140
2018-09-20 15:17:26.553,-812,16208,-1100,2136
2018-09-20 15:17:26.555,-788,16248,-1100,2137
2018-09-20 15:17:26.558,-788,16248,-1100,2141
2018-09-20 15:17:26.560,-792,16180,-1100,2133
2018-09-20 15:17:26.562,-792,16180,-1100,2139
2018-09-20 15:17:26.567,-792,16208,-1112,2139
2018-09-20 15:17:26.569,-808,16208,-1112,2139
2018-09-20 15:17:26.572,-792,16176,-1096,2132
2018-09-20 15:17:26.574,-792,16176,-1096,2146
2018-09-20 15:17:26.578,-740,16216,-1132,2137
2018-09-20 15:17:26.581,-768,16208,-1148,2145
2018-09-20 15:17:26.583,-768,16208,-1148,2145
2018-09-20 15:17:26.585,-792,16256,-1136,2140
2018-09-20 15:17:26.587,-792,16256,-1136,2143
2018-09-20 15:17:26.590,-792,16256,-1136,2149
2018-09-20 15:17:26.592,-732,16160,-1084,2134
2018-09-20 15:17:26.594,-732,16160,-1084,2141
2018-09-20 15:17:26.597,-748,16260,-1120,2142
2018-09-20 15:17:26.599,-748,16260,-1120,2143
2018-09-20 15:17:26.601,-756,16224,-1120,2138
2018-09-20 15:17:26.603,-756,16224,-1120,2133
2018-09-20 15:17:26.606,-744,16200,-1120,2143
2018-09-20 15:17:26.608,-744,16200,-1120,2143
2018-09-20 15:17:26.610,-744,16200,-1128,2147
2018-09-20 15:17:26.612,-780,16180,-1128,2141
2018-09-20 15:17:26.615,-780,16180,-1128,2145
2018-09-20 15:17:26.617,-732,16184,-1160,2146
2018-09-20 15:17:26.619,-732,16184,-1160,2135
2018-09-20 15:17:26.621,-784,16236,-1192,2144
2018-09-20 15:17:26.624,-784,16236,-1192,2146
2018-09-20 15:17:26.626,-764,16208,-1048,2134
2018-09-20 15:17:26.628,-764,16208,-1048,2138
2018-09-20 15:17:26.630,-764,16208,-1124,2137
2018-09-20 15:17:26.633,-768,16184,-1124,2144
2018-09-20 15:17:26.635,-768,16184,-1124,2140
2018-09-20 15:17:26.637,-768,16304,-1192,2140
2018-09-20 15:17:26.639,-768,16304,-1192,2137
2018-09-20 15:17:26.642,-796,16192,-1092,2145
2018-09-20 15:17:26.644,-796,16192,-1092,2144
2018-09-20 15:17:26.646,-756,16248,-1120,2137
2018-09-20 15:17:26.649,-756,16248,-1120,2140
2018-09-20 15:17:26.651,-756,16168,-1084,2139
2018-09-20 15:17:26.653,-812,16168,-1084,2141
2018-09-20 15:17:26.655,-812,16168,-1084,2142
2018-09-20 15:17:26.658,-816,16264,-1072,2141
2018-09-20 15:17:26.660,-816,16264,-1072,2136
2018-09-20 15:17:26.662,-760,16192,-1100,2138
2018-09-20 15:17:26.665,-760,16192,-1100,2136
2018-09-20 15:17:26.667,-760,16260,-1092,2137
2018-09-20 15:17:26.669,-760,16260,-1092,2144
2018-09-20 15:17:26.671,-760,16216,-1136,2143
2018-09-20 15:17:26.674,-736,16216,-1136,2144
2018-09-20 15:17:26.676,-736,16216,-1136,2140
2018-09-20 15:17:26.678,-704,16232,-1104,2145
2018-09-20 15:17:26.681,-704,16232,-1104,2140
2018-09-20 15:17:26.683,-748,16264,-1092,2133
2018-09-20 15:17:26.685,-748,16264,-1092,2139
2018-09-20 15:17:26.687,-756,16136,-1136,2142
2018-09-20 15:17:26.690,-756,16136,-1136,2140
2018-09-20 15:17:26.692,-744,16208,-1072,2140
2018-09-20 15:17:26.694,-744,16208,-1072,2133
2018-09-20 15:17:26.696,-744,16192,-1108,2143
2018-09-20 15:17:26.699,-756,16192,-1108,2131
2018-09-20 15:17:26.701,-756,16192,-1108,2137
2018-09-20 15:17:26.703,-768,16224,-1056,2145
2018-09-20 15:17:26.705,-768,16224,-1056,2136
2018-09-20 15:17:26.708,-764,16248,-1056,2137
2018-09-20 15:17:26.710,-764,16248,-1056,2144
2018-09-20 15:17:26.712,-788,16232,-1100,2142
2018-09-20 15:17:26.714,-788,16232,-1100,2141
2018-09-20 15:17:26.717,-788,16232,-1116,2131
2018-09-20 15:17:26.719,-784,16192,-1116,2142
2018-09-20 15:17:26.723,-784,16232,-1148,2141
2018-09-20 15:17:26.725,-788,16232,-1148,2152
2018-09-20 15:17:26.728,-800,16192,-1136,2132
2018-09-20 15:17:26.730,-800,16192,-1136,2141
2018-09-20 15:17:26.737,-816,16224,-1136,2140
2018-09-20 15:17:26.739,-800,16216,-1092,2141
2018-09-20 15:17:26.742,-800,16216,-1092,2138
2018-09-20 15:17:26.745,-780,16200,-1124,2138
2018-09-20 15:17:26.747,-780,16200,-1124,2138
2018-09-20 15:17:26.751,-764,16208,-1132,2138
2018-09-20 15:17:26.754,-764,16216,-1072,2136
2018-09-20 15:17:26.756,-764,16216,-1072,2139
2018-09-20 15:17:26.759,-684,16256,-1100,2141
2018-09-20 15:17:26.763,-684,16256,-1100,2138
2018-09-20 15:17:26.766,-740,16176,-1108,2147
2018-09-20 15:17:26.768,-740,16176,-1108,2134
2018-09-20 15:17:26.770,-772,16216,-1032,2147
2018-09-20 15:17:26.773,-772,16216,-1032,2143
2018-09-20 15:17:26.777,-748,16228,-1136,2138
2018-09-20 15:17:26.780,-732,16224,-1016,2141
2018-09-20 15:17:26.782,-732,16224,-1016,2144
2018-09-20 15:17:26.784,-732,16224,-1116,2140
2018-09-20 15:17:26.787,-816,16240,-1116,2148
2018-09-20 15:17:26.791,-816,16224,-1148,2135
