0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,label
-5632,-5632,-5632,364,364,-6844,-6844,9672,9672,-6620,-6620,-6620,620,620,-7192,-7192,10268,10268,10268,-7480,-7480,956,956,-7096,-7096,-7096,10936,10936,-7992,-7992,-7992,868,868,-6732,-6732,11164,11164,11164,-8388,-8388,628,628,-6204,-6204,11412,11412,-8492,-8492,464,464,-5568,-5568,-5568,11228,11228,-9008,-9008,16,16,-4900,-4900,-4900,10440,10440,-8780,-8780,-436,-436,-3896,-3896,-3896,9900,9900,-8108,-8108,-1264,-1264,-2924,-2924,-2924,8980,8980,-7936,-7936,-1652,-1652,-1744,8084,8084,-7644,-7644,-7644,-1748,-1748,-1044,-1044,6884,6884,-7048,-7048,-2216,-2216,260,260,3172,3172,-4756,-4756,-4756,-3788,-3788,3768,3768,800,800,-3276,-3276,-3276,-4884,-4884,5836,5836,-1392,-1392,-2260,-2260,-5784,-5784,1
-5784,7140,7140,-2872,-2872,-1336,-1336,-6172,-6172,-6172,8012,8012,-4072,-4072,-444,-444,-6612,-6612,-6612,9312,9312,-5724,-5724,72,72,-6676,-6676,-6676,9996,9996,-7036,-7036,272,272,-6552,-6552,-6552,10976,10976,-7988,-7988,200,200,-6068,-6068,-6068,11200,11200,-8452,-8452,-28,-28,-5408,-5408,-5408,10976,10976,-8508,-8508,-428,-428,-4028,-4028,-4028,10372,10372,-8452,-8452,-1036,-1036,-3236,-3236,9620,9620,9620,-8304,-8304,-1284,-1284,-2428,-2428,8724,8724,8724,-7824,-7824,-1852,-1852,-1116,-1116,7324,7324,7324,-7140,-2436,-2436,-80,-80,6204,6204,-6588,-6588,-6588,-3040,-3040,1412,1412,4260,4260,-5464,-5464,-3572,-3572,2924,2924,2504,2504,2504,-4644,-4644,-4304,-4304,4116,4116,888,888,-3588,-3588,1
-4680,-4680,5336,5336,5336,-720,-720,-2608,-2608,-5452,-5452,6292,6292,-2064,-2064,-1924,-1924,-5756,-5756,7392,7392,-3328,-3328,-1108,-1108,-1108,-6520,-6520,8728,8728,-4700,-4700,-516,-516,-516,-6184,-6184,9184,9184,-6056,-6056,-380,-380,-380,-5808,-5808,9592,9592,-6312,-6312,-540,-540,-6324,-6324,-6324,10516,10516,-7232,-7232,-364,-364,-5972,-5972,-5972,10920,10920,-7888,-7888,-640,-640,-5208,-5208,10816,10816,10816,-8144,-8144,-856,-856,-4444,-4444,10036,10036,10036,-7736,-7736,-1684,-1684,-3372,-3372,9632,9632,9632,-7640,-7640,-2072,-2072,-2236,-2236,8828,8828,8828,-7448,-7448,-2408,-2408,-1464,-1464,7904,7904,7904,-6888,-6888,-2668,-2668,-256,-256,6508,6508,6508,-6336,-6336,-2892,-2892,468,468,5108,5108,1
5108,-5196,-5196,-4052,-4052,2144,2144,3044,3044,-3464,-3464,-3464,-5316,-5316,4120,4120,196,196,-1344,-1344,-1344,-6672,-6672,5448,5448,-1116,-1116,-128,-128,6696,6696,-2896,-2896,1312,-8664,-8664,7732,7732,-3656,-3656,-3940,-3940,-2396,-2396,5044,-2568,-2568,-3724,-3724,-1284,4384,4384,-1924,-1924,-5168,-5168,-5168,608,608,3284,3284,-1332,-1332,-1332,-6272,-6272,1664,1664,2424,2424,-356,-356,-7364,-7364,-7364,3080,3080,984,984,772,772,-8244,-8244,3940,3940,3940,356,356,916,916,-8536,-8536,4572,4572,-428,-428,1564,-8728,-8728,-8728,5628,5628,-1480,-1480,1512,1512,-8624,-8624,6144,6144,-2540,-2540,2076,2076,-9052,-9052,6868,6868,6868,-3064,-3064,2428,2428,-9480,-9480,7192,-3204,2300,1
2300,-9320,-9320,7136,7136,7136,-3272,-3272,1476,1476,-7712,-7712,6808,6808,-3332,-3332,1004,1004,-7444,-7444,-7444,7344,7344,-3964,-3964,1020,1020,-7240,-7240,-7240,7248,7248,-3864,-3864,-232,-232,-5036,-5036,5896,5896,-3168,-3168,-1728,-1728,-3288,-3288,5208,5208,-2840,-2840,-2840,-2308,-2308,-2768,-2768,5016,5016,-2780,-2780,-2780,-3372,-3372,-844,-844,3712,3712,-1664,-1664,-5008,-5008,-5008,680,680,2532,2532,-912,-912,-912,-6060,-6060,2304,2304,1232,1232,272,272,272,-7580,-7580,3672,3672,80,80,872,872,-7856,-7856,-7856,4192,4192,-288,-288,1220,1220,1220,-8588,-8588,5560,5560,-1628,-1628,2140,2140,-9816,-9816,6564,6564,6564,-2160,-2160,2548,2548,-9808,-9808,6904,6904,6904,-2884,1
-2884,2588,2588,-9092,-9092,6520,6520,6520,-2964,-2964,1440,1440,-7728,-7728,6516,6516,6516,-3540,-3540,1496,1496,-7528,-7528,6876,6876,-3968,-3968,-3968,1100,1100,-6548,-6548,6536,6536,-3744,-3744,-3744,324,324,-5316,-5316,5964,5964,-3600,-3600,-3600,-548,-548,-3948,-3948,5004,5004,-3360,-3360,-3360,-1552,-2856,-2856,4824,-3268,-3268,-3268,-2004,-2004,-1756,-1756,3812,3812,-2420,-2420,-3556,-3556,-3556,-436,-436,3088,3088,-1940,-1940,-4464,-4464,-4464,728,728,2252,2252,-916,-916,-5840,-5840,-5840,1744,1744,1808,1808,-512,-512,-6368,-6368,-6368,2748,2748,684,684,684,684,-7860,-7860,-7860,3952,3952,-4,-4,1500,1500,-9048,-9048,5236,5236,5236,-1048,-1048,1748,1748,-8836,-8836,5432,5432,1
-1832,-1832,-1832,2388,2388,-9376,-9376,6400,6400,-2456,-2456,-2456,2512,2512,-9508,-9508,6712,6712,-3044,-3044,-3044,2744,2744,-9704,-9704,7188,7188,-3696,-3696,-3696,-9396,-9396,7640,7640,-3828,2744,2744,-9328,-9328,7896,7896,7896,-4420,-4420,2748,2748,-9212,-9212,8200,8200,-4772,-4772,-4772,2332,2332,-8700,-8700,7996,7996,-4396,-4396,-4396,1032,1032,-7072,-7072,7380,7380,-4416,-4416,1152,1152,1152,-6512,-6512,6796,6796,-4212,-4212,-500,-500,-500,-4484,-4484,5904,5904,-3712,-3712,-1412,-1412,-1412,-2880,-2880,4716,4716,-2232,-3932,-448,3448,3448,-1532,-1532,-4964,-4964,3708,92,92,1312,1312,-8956,-8956,5416,-1596,-1596,2276,2276,-10136,7140,7140,7140,-2792,-2792,1888,1888,-9208,-9208,-9208,7604,1
-3092,-3092,1248,1248,1248,-8888,-8888,8840,8840,-4872,-4872,-4872,1424,1424,-8060,-8060,8320,8320,8320,-4596,-4596,1320,1320,-8748,-8748,10728,10728,10728,-6656,-6656,1848,1848,-8668,-8668,11020,11020,-7236,-7236,1416,1416,-7764,-7764,10864,10864,-7228,-7228,-7228,752,752,-6768,-6768,10096,10096,-7104,-7104,112,112,-5000,-5000,8660,8660,8660,-6112,-6112,-988,-988,-3176,-3176,7068,7068,-5040,-5040,-5040,-1944,-1944,-2596,-2596,6468,6468,-4388,-4388,-2892,-2892,-1660,-1660,-1660,6140,6140,-4804,-4804,-3560,-3560,28,28,4832,4832,-4708,-4708,-4708,-3532,-3532,800,800,4260,4260,-4192,-4192,-4512,-4512,-4512,2908,2908,2060,2060,-3472,-3472,-4204,-4204,-4204,3248,3248,1540,1540,-3024,-3024,-5348,-5348,-3888,1
-112,-112,-7380,-7380,8816,8816,-4960,-4960,696,-7500,1020,1020,10372,10372,-7452,-7452,-7452,1400,1400,-7456,-7456,11196,11196,11196,-8324,-8324,1416,1416,1416,-7304,-7304,11648,-9016,-9016,1400,1400,1400,-6788,-6788,11760,11760,-9032,-9032,-9032,820,820,-5724,-5724,10704,10704,-8928,-8928,-88,-88,-4356,-4356,-4356,10116,10116,-8920,-8920,-476,-476,-3212,-3212,-3212,9508,9508,-8628,-8628,-888,-888,-2268,-2268,8592,8592,-8224,-8224,-8224,-1408,-1408,-1444,-1444,7792,7792,-7404,-7404,-7404,-2572,-2572,340,340,5692,5692,-6616,-6616,-3080,-3080,-3080,2076,2076,3788,-5568,-5568,-3896,-3896,-3896,3892,3892,1932,1932,-4480,-4480,-4324,-4324,4544,4544,912,912,-4000,-4000,-4876,-4876,-4876,5444,5444,-492,-492,1
-2940,-2940,-5472,-5472,-5472,7008,7008,-2316,-2316,-2076,-2076,-6040,-6040,8172,8172,8172,-3756,-3756,-1144,-1144,-6420,-6420,9312,9312,9312,-5152,-5152,-696,-696,-6704,-6704,4716,4716,-7584,-7584,-7584,-2204,-2204,-1052,-1052,7708,7708,-7304,-7304,-2768,-2768,-2768,68,68,6488,6488,-6644,-6644,-3104,-3104,-3104,1368,1368,4760,4760,-5784,-5784,-3884,-3884,2548,2548,2548,3476,3476,-5008,-5008,-4048,-4048,3448,3448,3448,2152,2152,-4412,-4412,-4500,-4500,4456,4456,812,812,812,-3552,-3552,-4924,-4924,5636,5636,-816,-816,-816,-2508,-2508,-5568,-5568,6932,6932,-2544,-2544,-2544,-1676,-1676,-5744,-5744,8468,8468,-4568,-4568,-4568,-956,-956,-6176,-6176,9824,9824,-5868,-5868,-496,-6404,-6404,10648,10648,-6764,1
