0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,label
13304,13304,14964,14964,14964,19460,19460,16580,16580,13908,13908,13908,14744,14744,20208,20208,15828,15828,15828,14400,14400,14384,14384,20772,20772,20772,14936,14936,15088,15088,13980,13980,13980,21788,21788,13976,13976,13976,15632,15632,13672,13672,22392,22392,13148,13148,15864,15864,13480,13480,22892,22892,22892,12392,12392,16264,16264,13308,13308,23052,23052,23052,12100,12100,16804,16804,13080,13080,23304,23304,11816,11816,11816,16864,16864,12952,12952,23600,23600,23600,11328,11328,17208,17208,13044,13044,23736,10844,10844,17424,17424,17424,13348,13348,23220,23220,10792,10792,17424,17424,13640,13640,22816,22816,11296,11296,16956,16956,15340,15340,15340,21228,21228,11684,11684,16488,16488,16508,16508,16508,19976,19976,12244,12244,16036,16036,17424,17424,1
17424,19104,19104,12668,12668,15820,15820,18252,18252,17880,17880,17880,13236,13236,15396,15396,19404,19404,19404,16604,16604,13684,13684,14968,14968,20156,20156,20156,15516,15516,14632,14632,14196,14196,21628,21628,21628,14112,14112,15144,15144,13732,13732,22448,22448,22448,13180,13180,15812,15812,13636,13636,22612,22612,22612,12172,12172,16232,16232,13316,13316,23200,23200,23200,11924,11924,16704,16704,13172,13172,23424,23424,11416,11416,11416,16896,16896,13212,13212,23496,23496,11192,11192,11192,17296,17296,13452,13452,23300,23300,10768,10768,17272,17272,13696,13696,23156,23156,10732,10732,17332,17332,14164,14164,14164,22608,22608,11016,11016,17132,17132,15108,15108,21572,21572,11336,11336,11336,16820,16820,15656,15656,20940,20940,11540,11540,16540,16540,1
16464,16464,20096,20096,20096,11976,11976,16236,16236,17088,17088,19436,19436,12448,12448,15880,15880,18228,18228,18212,18212,12952,12952,15292,15292,15292,19152,19152,17256,17256,13400,13400,15332,15332,19728,19728,19728,16144,16144,13872,13872,15036,15036,20232,20232,20232,15804,15804,14336,14336,14220,14220,21528,21528,14568,14568,14568,14668,14668,14084,14084,22232,22232,13420,13420,13420,15340,15340,13728,13728,22660,22660,12848,12848,12848,15852,15852,13724,13724,22880,22880,12604,12604,12604,16000,16000,13420,13420,23292,23292,11936,11936,11936,16364,16364,13536,13536,23528,23528,11568,11568,11568,16720,16720,13492,13492,23244,23244,11392,11392,11392,16856,16856,14124,14124,22856,22856,11212,11212,11212,16684,16684,14220,14220,22376,22376,12016,12016,1
12016,16396,16396,15076,15076,21256,21256,12688,12688,15764,15764,15764,16000,16000,19940,19940,13388,13388,15316,15316,15316,16604,16604,19532,19532,14120,14660,14660,17540,17880,17880,15336,15336,13136,19488,19488,16836,16836,16036,13740,13740,13740,21676,21676,14008,16508,16508,12704,21980,21980,13788,13788,16176,16176,13232,13232,13232,21092,21092,13976,13976,16312,16312,13808,13808,13808,21288,21288,13676,13676,15388,15388,14128,14128,14128,20612,20612,14816,14816,15504,15504,15048,15048,20208,20208,14272,14272,14272,14796,14796,15640,15640,19600,19600,15092,15092,14460,16988,16988,16988,18444,18444,15180,15180,13636,13636,17984,17984,17976,17976,15816,15816,13056,13056,18476,18476,17388,17388,17388,16140,16140,13016,13016,18688,18688,17272,16108,12668,1
12668,19356,19356,16948,16948,16948,16056,16056,12456,12456,20056,20056,16192,16192,16556,16556,11684,11684,21188,21188,21188,15584,15584,16888,16888,11480,11480,21220,21220,14980,14980,14980,16976,16976,12460,12460,21736,21736,14544,14544,16208,16208,12076,12076,21712,21712,14556,14556,17128,17128,17128,11852,11852,21528,21528,14188,14188,16976,16976,13104,13104,13104,21340,21340,13992,13992,15936,15936,13492,13492,13492,21076,21076,14428,14428,16164,16164,14148,14148,14148,20396,20396,14440,14440,15624,15624,14356,14356,14356,20016,20016,14864,14864,15400,15400,15180,15180,15180,19692,19692,14768,14768,14432,14432,16776,16776,16776,19144,19144,15320,15320,13820,13820,17144,17144,18332,18332,18332,15632,15632,13656,13656,17904,17904,17604,17604,17604,15712,1
15712,13328,13328,18804,18804,17244,17244,17244,16000,16000,12792,12792,19584,19584,16388,16388,16388,16536,16536,12088,12088,20416,20416,15832,15832,16900,16900,16900,12176,12176,20500,20500,15088,15088,16896,16896,16896,12184,12184,21156,21156,14796,14796,16948,16948,16948,12180,12180,20916,20916,14620,14620,17484,17484,12144,12144,21544,21544,14232,17256,17256,17256,12156,12156,20828,20828,14152,14152,17156,17156,13064,13064,13064,21372,21372,14204,14204,16572,16572,12820,12820,12820,20704,20704,14452,14452,16880,16880,13620,13620,13620,20888,20888,13932,13932,15992,15992,13760,13760,13760,20288,20288,14936,14936,15760,15760,14972,14972,14972,19952,19952,14508,14508,14460,14460,15668,15668,19312,19312,19312,15444,15444,14812,14812,16352,16352,18400,18400,1
15280,15280,15280,13888,13888,17536,17536,18416,18416,15776,15776,15776,13420,13420,17680,17680,17472,17472,16164,16164,16164,13064,13064,19208,19208,17064,17064,16324,16324,16324,19252,19252,16568,16568,16964,11932,11932,20760,20760,15644,15644,16904,16904,16904,11492,11492,20972,20972,15064,15064,17176,17176,17176,11580,11580,21652,21652,14752,14752,17256,17256,10956,10956,10956,22432,22432,14092,14092,18052,18052,10884,10884,10884,22644,22644,13400,13400,17652,17652,11188,11188,11188,23020,23020,13048,13048,17640,17640,11592,11592,11592,22252,22252,13460,13460,17120,12440,22008,13680,13680,16704,16704,12644,20504,20504,14344,14344,15496,15496,14692,14692,20392,14484,14484,14452,14452,16376,19348,19348,19348,13916,13916,14832,14832,17164,17164,17164,19036,1
13756,13756,14636,14636,14636,18020,18020,18176,18176,14192,14192,14192,14576,14576,18212,18212,17552,17552,14692,14692,14692,13688,13688,20332,20332,15828,15828,15828,15632,15632,12876,12876,21644,21644,14672,14672,15872,15872,12832,12832,21932,21932,14128,14128,16296,16296,16296,12644,12644,22644,22644,13064,13064,16700,16700,12136,12136,23172,23172,12772,12772,17288,17288,17288,11748,11748,23564,23564,12388,12388,17308,17308,17308,11600,11600,23112,23112,12536,12536,17208,17208,12268,12268,23924,23924,23924,11372,11372,16744,16744,12956,12956,23308,23308,11600,11600,17408,17408,13304,13304,13304,22984,22984,11456,11456,16736,16736,14404,14404,14404,21936,21936,11596,11596,17124,17124,14520,14520,14520,21748,21748,11968,11968,16244,16244,15912,15912,13068,1
15828,15828,18088,18088,17712,17712,13544,13544,15316,18932,14816,14816,16000,16000,14436,14436,14436,14236,14236,21380,21380,14656,14656,14656,15136,15136,13972,13972,13972,22008,13364,13364,15752,15752,13448,13448,13448,23036,23036,12696,12696,16252,16252,16252,13112,13112,23344,23344,11720,11720,16884,16884,12824,12824,23852,23852,23852,11292,11292,17156,17156,12804,12804,23984,23984,10912,10912,10912,17128,17128,12824,12824,23816,23816,10944,10944,17380,17380,13124,13124,13124,23748,23748,10912,10912,17192,17192,13724,13724,13724,23164,23164,10740,10740,17360,17360,14368,14368,14368,22504,22504,10980,17052,17052,15284,15284,15284,21392,21392,11320,11320,16840,16840,15708,15708,21076,21076,11332,11332,16572,16572,16264,16264,16264,20116,20116,11788,11788,1
16348,16348,17416,17416,19128,19128,19128,12308,12308,15868,15868,18316,18316,17968,17968,17968,12996,12996,15540,15540,19472,19472,16868,16868,16868,13300,13300,15020,15020,20148,20148,15944,15944,17104,17104,13568,13568,13568,23556,23556,10728,10728,17240,17240,13808,13808,13808,23060,23060,10720,10720,17280,17280,14296,14296,22636,22636,22636,11048,11048,16904,16904,15000,15000,22064,22064,22064,11040,11040,16980,16980,15440,15440,21568,21568,11312,11312,11312,16744,16744,15988,15988,20880,20880,11464,11464,11464,16448,16448,16940,16940,20020,20020,11880,11880,11880,16036,16036,17864,17864,18852,18852,12504,12504,12504,15824,15824,19016,19016,17240,17240,13016,13016,13016,15148,15148,20144,20144,16316,16316,13556,13556,14916,20948,20948,15272,15272,13840,1
