0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,label
5184,5184,-4908,-4908,-4908,3560,3560,-8788,-8788,5412,5412,5412,-4808,-4808,3984,3984,-9060,-9060,-9060,5508,5508,-4976,-4976,3692,3692,3692,-9156,-9156,5432,5432,-4728,-4728,-4728,3340,3340,-8812,-8812,-8812,5348,5348,-4440,-4440,2796,2796,-8424,-8424,5244,5244,-4112,-4112,2112,2112,-8272,-8272,-8272,5212,5212,-3612,-3612,1572,1572,-7532,-7532,-7532,4300,4300,-3108,-3108,784,784,-6696,-6696,-6696,3864,3864,-2464,-2464,-44,-44,-5680,-5680,-5680,3140,3140,-1740,-1740,-1536,-4536,-4536,2512,2512,-1524,-1524,-1524,-2260,-2260,-3776,-3776,2020,2020,-752,-752,-2580,-2580,-588,-588,-868,-868,956,956,956,-5816,-5816,988,988,-1788,-1788,1896,1896,1896,-6572,-6572,2292,2292,-2716,-2716,2396,2396,1
-7528,-7528,-7528,3312,3312,-3420,-3420,2868,2868,-7948,-7948,-7948,3984,3984,-4112,-4112,3332,3332,-8684,-8684,-8684,4648,4648,-4224,-4224,3400,3400,3400,-8612,-8612,4864,4864,-4412,-4412,3148,3148,3148,-8488,-8488,5248,5248,-4116,-4116,2456,2456,-8596,-8596,-8596,5336,5336,-4000,-4000,2088,2088,-8236,-8236,-8236,4776,4776,-3152,-3152,1512,1512,-7220,-7220,-7220,3924,3924,-2636,-2636,572,572,-6352,-6352,3460,3460,3460,-2060,-2060,-640,-640,-5432,-5432,2828,2828,2828,-1672,-1672,-1520,-1520,-4172,-4172,2344,2344,-776,-776,-2404,-2404,-3096,-3096,1236,1236,76,76,76,-3636,-3636,-1416,-156,-156,-156,840,840,-4888,-4888,-88,-88,-872,-872,-872,1412,-5640,-5640,-5640,904,904,-1672,-1672,1
1812,1812,-6416,-6416,1888,1888,1888,-2412,-2412,2312,2312,-6776,-6776,2692,-2876,-2876,-2876,2468,2468,-7528,-7528,3192,3192,-3428,-3428,3124,3124,3124,-8244,-8244,3944,3944,-3848,-3848,3232,3232,3232,-8296,-8296,4608,4608,-3792,-3792,2876,2876,-8356,-8356,-8356,4720,4720,-3804,-3804,2784,2784,-8252,-8252,-8252,4564,4564,-3612,-3612,2356,2356,-8264,-8264,-8264,4636,4636,-3336,-3336,1960,1960,-7764,-7764,4708,4708,4708,-2980,-2980,1404,1404,-7252,-7252,-7252,4116,4116,-2396,-2396,244,244,-6252,-6252,-6252,3224,3224,-1744,-1744,-1016,-1016,-5296,-5296,-5296,2736,2736,-1060,-1060,-1564,-1564,-4436,-4436,-4436,2556,2556,-716,-716,-2696,-2696,-3348,-3348,-3348,1564,1564,-292,-292,-3172,-3172,-2104,-2104,1
620,620,620,296,296,-4424,-4424,-396,-396,-264,-264,-264,1016,1016,-6124,-6124,1276,1276,-1684,-1684,1988,1988,1988,-6780,-6780,2528,-2480,-2480,2512,-7548,-7548,3528,3528,-3560,2820,2820,-7444,-7444,3620,164,164,164,-2352,-3180,-3180,476,472,472,-3200,-3200,-2252,-2252,-400,-400,1356,1356,1356,-4432,-4432,-1400,-1400,-568,-568,2308,2308,2308,-5432,-5432,-544,-544,-1636,-1636,2744,2744,2744,-6192,-6192,816,816,-2360,-2360,3488,3488,-6864,-6864,1184,1184,1184,-3052,-3052,3668,3668,-7044,-7044,1888,-3300,-3300,3624,3624,-7632,-7632,-7632,2336,-3112,-3112,-3112,3316,-7548,-7548,-7548,2752,2752,-3588,-3588,3288,3288,-7584,-7584,3112,3112,3112,-3920,-3920,3380,3380,-7728,3468,-4036,1
-4036,3372,3372,-7616,-7616,-7616,3288,3288,-3208,-3208,2376,2376,-6944,-6944,2956,2956,-2752,-2752,1872,1872,1872,-6432,-6432,2292,2292,-2740,-2740,1304,1304,-6132,-6132,-6132,2468,2468,-1756,-1756,116,116,-5128,-5128,1680,1680,-888,-888,-1232,-1232,-4296,-4296,1312,1312,1312,-360,-360,-2288,-2288,-3348,-3348,960,960,556,556,556,-3604,-3604,-2236,-2236,-320,-320,1528,1528,1528,-4536,-4536,-1088,-1088,-812,-812,2132,2132,2132,-5684,-5684,80,80,-1816,-1816,2724,2724,2724,-6780,-6780,1332,1332,-2656,-2656,3232,3232,3232,-7224,-7224,1576,1576,-2824,-2824,3596,3596,3596,-7588,-7588,2632,2632,-3528,-3528,3936,3936,-8140,-8140,3272,3272,3272,-3760,-3760,3932,3932,-8400,-8400,3484,3484,1
3484,-3812,-3812,3608,3608,-7648,-7648,3164,3164,3164,-3376,-3376,2752,2752,-7284,-7284,3400,3400,3400,-3120,-3120,1800,1800,-6816,-6816,3212,3212,-2732,-2732,-2732,1248,1248,-6268,-6268,2636,2636,-2204,-2204,-2204,288,288,-5544,-5544,2584,2584,-1632,-1632,-1632,-1064,-1064,-4292,-4292,2348,2348,-952,-952,-2136,-2136,-3712,1960,1960,1960,-476,-476,-3112,-3112,-2648,-2648,1004,1004,520,520,520,-3760,-3760,-1752,-1752,72,72,720,720,720,-4856,-4856,-732,-732,-316,-316,1924,1924,-5796,-5796,-5796,-208,-208,-1172,-1172,2332,2332,-6460,-6460,-6460,904,904,-2016,-2016,3296,3296,-7264,-7264,-7264,1620,1620,-3232,-3232,3840,3840,-7776,-7776,2372,2372,2372,-3188,-3188,3796,3796,-8024,-8024,1
2872,2872,2872,-3376,-3376,4016,4016,-8280,-8280,3228,3228,-3740,-3740,-3740,3876,3876,-8080,-8080,3372,3372,-4052,-4052,-4052,3924,3924,-8084,-8084,3500,3500,-4276,3328,3328,-7984,-7984,3776,-4020,-4020,3148,3148,-7900,-7900,3836,3836,-3828,-3828,-3828,2988,2988,-7868,-7868,3692,3692,-3588,-3588,-3588,2744,2744,-7508,-7508,3020,3020,-2656,-2656,-2656,1168,1168,-6220,-6220,2412,2412,-2288,-2288,688,688,688,-5140,-5140,1940,1940,-1256,-1256,-1256,-788,-788,-4232,-4232,992,992,-392,-392,-2060,-2060,-2060,-3308,296,296,1180,-3612,-1596,-1596,-992,-992,1856,-7192,-7192,1148,1148,-3416,4660,4660,4660,-8012,2232,2232,-4492,-4492,5884,-8976,-8976,2960,2960,2960,-4800,-4800,5400,5400,5400,-8676,1
3396,3396,-4784,-4784,-4784,4960,4960,-8820,-8820,4512,4512,4512,-4860,-4860,4224,4224,-8752,-8752,4356,4356,4356,-4492,-4492,3720,3720,-9132,-9132,5028,5028,5028,-4440,-4440,3624,3624,-8708,-8708,5408,5408,-4460,-4460,2992,2992,-8392,-8392,5328,5328,-4184,-4184,-4184,2072,2072,-7672,-7672,4280,4280,-3268,-3268,664,664,-6244,-6244,3256,3256,3256,-2568,-2568,-1132,-1132,-4244,-4244,2116,2116,2116,-1180,-1180,-1492,-1492,-3660,-3660,1404,1404,-172,-172,-2508,-2508,-2896,-2896,-2896,48,48,776,776,-3988,-3988,-1480,-1480,-164,-164,900,900,-4332,-4332,-4332,-1180,-1180,-764,-764,1420,1420,1420,-5448,-5448,328,328,-1444,-1444,1772,1772,1772,-5932,-5932,1032,1032,-2008,-2008,2268,2268,-4300,1
-4300,-4300,3936,3936,-8736,-8736,4980,4980,-4940,4168,-5200,-5200,-9348,-9348,5872,5872,-5348,-5348,-5348,3896,3896,-9532,-9532,-9532,5928,5928,-5092,-5092,3580,3580,-9360,-9360,5720,5720,-4768,-4768,3184,3184,3184,-8680,-8680,5616,5616,5616,-4252,-4252,1844,1844,-7740,-7740,4652,4652,-3284,-3284,1028,1028,-7004,-7004,-7004,4268,4268,-2560,-2560,184,184,-6404,-6404,-6404,3728,3728,-2120,-2120,-644,-644,-5168,-5168,3256,3256,-1660,-1660,-1660,-1312,-1312,-4456,-4456,2408,2408,-824,-824,-824,-3020,-3020,-2832,-2832,1336,1336,-140,-140,-4168,-4168,-1120,-1120,172,172,1032,1032,1032,-5724,-5724,480,480,-992,-992,1448,1448,-6240,-6240,1208,1208,-1324,-1324,1812,1812,-7068,-7068,-7068,1660,1660,1
-1812,-1812,2180,2180,-7424,-7424,-7424,3012,3012,-2544,-2544,2876,2876,-8328,-8328,-8328,3688,3688,-3388,-3388,3088,3088,-8712,-8712,-8712,4396,4396,-3592,-3592,3452,3452,-4252,-4252,2824,2824,-1196,-1196,-1196,-1760,-1760,-4428,-4428,2288,2288,-568,-568,-2700,-2700,-2700,-3444,-3444,1512,1512,140,140,-3520,-3520,-1984,-1984,-1984,676,676,812,812,-4956,-4956,-812,-812,-812,-200,-200,1224,1224,-5580,-5580,112,112,-920,-920,-920,1704,1704,-5848,-5848,924,924,924,-1560,-1560,2004,2004,-6804,-6804,1884,1884,-2520,-2520,-2520,2440,2440,-7348,-7348,2760,2760,2760,-3208,-3208,2648,2648,-8080,-8080,3932,3932,3932,-3460,-3460,3204,3204,-8508,-8508,4396,4396,-3524,3140,3140,-8996,-8996,4608,1
